scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,50,300,8,0,0.792417365,15.76652681,0.198104341
polar,0,50,300,8,0.2,0.775287232,15.26120948,0.193821808
polar,0,50,300,8,0.4,0.803802479,27.78207245,0.20095062
polar,0,50,300,8,0.6,0.772507544,15.12608635,0.193126886
polar,0,50,300,8,0.8,0.97385034,48.75053142,0.243462585
polar,0,50,300,4,0,0.772059645,3.827713078,0.272964305
polar,0,50,300,4,0.2,0.781759597,4.240470263,0.276393756
polar,0,50,300,4,0.4,0.766794018,3.71495465,0.271102625
polar,0,50,300,4,0.6,0.830432011,24.37795809,0.293602053
polar,0,50,300,4,0.8,0.805194011,24.45670408,0.284679073
polar,0,300,150,8,0,0.85227727,8.806518931,0.213069318
polar,0,300,150,8,0.2,0.856221098,8.913470145,0.214055274
polar,0,300,150,8,0.4,0.84735845,8.710435291,0.211839612
polar,0,300,150,8,0.6,0.847879826,8.679899972,0.211969957
polar,0,300,150,8,0.8,0.894016861,9.95858115,0.223504215
polar,0,300,300,16,0,0.848856374,19.42691672,0.150058025
polar,0,300,300,16,0.2,0.847018465,19.31575224,0.149733125
polar,0,300,300,16,0.4,0.8527504,20.35750598,0.150746398
polar,0,300,300,16,0.6,0.853403092,21.65578224,0.150861778
polar,0,300,300,16,0.8,0.904498788,82.78724446,0.159894307
polar,0,150,150,32,0,0.941032243,97.4242775,0.11762903
polar,0,150,150,32,0.2,0.948964765,125.9979959,0.118620596
polar,0,150,150,32,0.4,0.965450627,159.5795989,0.120681328
polar,0,150,150,32,0.6,0.99522597,227.3588557,0.124403246
polar,0,150,150,32,0.8,1.135302241,289.5435646,0.14191278
polar,0,150,300,64,0,0.905165988,179.8542463,0.080006126
polar,0,150,300,64,0.2,0.917411371,239.7473964,0.081088475
polar,0,150,300,64,0.4,0.942029332,335.746967,0.083264416
polar,0,150,300,64,0.6,1.029359086,539.6308137,0.090983349
polar,0,150,300,64,0.8,1.347223545,774.392321,0.119078863
polar,0,300,150,8,0,0.947573034,14.26987309,0.236893259
polar,0,300,150,8,0.2,0.947688388,14.24361015,0.236922097
polar,0,300,150,8,0.4,0.944833293,18.27200468,0.236208323
polar,0,300,150,8,0.6,0.958842858,14.77283047,0.239710715
polar,0,300,150,8,0.8,0.955094461,19.52627773,0.238773615
polar,0,150,150,32,0,0.93491002,101.7019295,0.116863752
polar,0,150,150,32,0.2,0.938790279,131.1030716,0.117348785
polar,0,150,150,32,0.4,1.007525812,228.3921505,0.125940726
polar,0,150,150,32,0.6,1.026403671,295.8877306,0.128300459
polar,0,150,150,32,0.8,1.246279296,369.5307706,0.155784912
