run,agents,observations,states,Time,KL,Inaccuracy,missing,low
0,50,150,4,0.0675311088562011,6.83499726133011,0.235423471378481,0.2,True
0,50,150,4,0.1034450531005859,9.455917784964322,0.2626933001789991,0.4,True
0,50,150,4,0.0620255470275878,7.22714860424264,0.3803469562052319,0.6000000000000001,True
0,50,150,4,0.0445179939270019,5.445475643588615,0.2935651537390083,0.8,True
0,50,150,4,0.0685184001922607,0.6318997712696219,0.1784012871708103,0.2,False
0,50,150,4,0.0630087852478027,1.89059933784504,0.2632411739217115,0.4,False
0,50,150,4,0.0560214519500732,1.7709058905460098,0.2560391344325046,0.6000000000000001,False
0,50,150,4,0.0485165119171142,7.992108832491006,0.3490724299577921,0.8,False
0,50,300,8,0.1525466442108154,12.205126916836116,0.1673596444014323,0.2,True
0,50,300,4,0.1925508975982666,2.79844564530284,0.2634507290948488,0.2,True
0,50,300,8,0.1470580101013183,20.988903825750764,0.2057083687545692,0.4,True
0,300,150,8,0.4001128673553467,5.483446783625452,0.1753489359692222,0.2,True
0,50,300,4,0.1305208206176757,3.5801815672220405,0.3071553779285026,0.4,True
0,150,500,4,0.6361610889434814,2.246989613620309,0.1911781861228867,0.2,True
0,50,300,8,0.1175365447998046,40.53015468101584,0.2958100184704362,0.6000000000000001,True
0,50,300,4,0.1030256748199462,5.139158830952146,0.395331619667211,0.6000000000000001,True
0,300,150,8,0.3080756664276123,7.015946297322349,0.2051434931496554,0.4,True
0,50,300,8,0.1070291996002197,44.92018631128212,0.3134465763316867,0.8,True
0,50,300,8,0.1685240268707275,2.111265404141037,0.1450674683969444,0.2,False
0,50,300,4,0.0870060920715332,3.144138012586279,0.3161354767296654,0.8,True
0,50,300,4,0.1430435180664062,1.7903262289691388,0.2354315346092605,0.2,False
0,50,300,8,0.1350440979003906,3.985310701306109,0.1927575997336725,0.4,False
0,150,500,4,0.5631399154663086,2.15033147878394,0.2445460638520551,0.4,True
0,300,150,8,0.2795579433441162,8.517928161742216,0.255976372389147,0.6000000000000001,True
0,50,300,4,0.119532823562622,2.7257728455569863,0.2683035624168757,0.4,False
0,50,300,8,0.1235384941101074,6.283389480361674,0.2288001417432089,0.6000000000000001,False
0,50,300,4,0.1075265407562255,3.675980401511727,0.3249406100223296,0.6000000000000001,False
0,50,300,8,0.1125226020812988,7.325953957134517,0.2106901101302991,0.8,False
0,50,300,4,0.0985276699066162,3.5390482388589635,0.3412117701020861,0.8,False
0,300,150,8,0.2501475811004638,8.551943732445265,0.2700799983330347,0.8,True
0,150,500,4,0.4986288547515869,2.2291167737672817,0.2722476461560719,0.6000000000000001,True
0,300,150,8,0.3840858936309814,4.207244518181517,0.1756937061995857,0.2,False
0,50,500,4,0.2337241172790527,1.4519577745455103,0.2142162803980595,0.2,True
0,50,500,8,0.2600812911987304,10.400271465157177,0.1672789950239307,0.2,True
0,50,500,4,0.2105636596679687,7.658321165906162,0.3251340915705704,0.4,True
0,300,150,8,0.3230774402618408,5.816396811586724,0.2058835542296781,0.4,False
0,50,500,8,0.2345578670501709,11.921788404527303,0.2150480343705448,0.4,True
0,50,500,4,0.1805434226989746,4.459534417312273,0.3430054481283896,0.6000000000000001,True
0,50,500,8,0.2155482769012451,24.611426707528693,0.2929882717077332,0.6000000000000001,True
0,300,300,16,0.8225395679473877,26.736246993357447,0.1251432810377749,0.2,True
0,50,500,16,0.3210723400115967,53.58346983475104,0.1288382388233364,0.2,True
0,150,150,32,0.2605729103088379,159.2403283768049,0.1274870081511861,0.2,True
0,300,150,8,0.2953855991363525,7.454026420890214,0.2423584868137343,0.6000000000000001,False
0,150,500,4,0.4149141311645508,1.4120145773476738,0.2205575094792212,0.8,True
0,150,150,32,0.2560539245605469,257.0266215772272,0.1552571918101847,0.4,True
0,50,500,4,0.1750457286834716,7.11002908527251,0.3005501766461538,0.8,True
0,50,500,16,0.2910716533660888,75.11314282028451,0.1679980513414602,0.4,True
0,50,500,8,0.1890516281127929,18.80997602819818,0.2899326642269936,0.8,True
0,50,500,4,0.2575774192810058,0.6945918086532076,0.1701598935865085,0.2,False
0,150,150,32,0.2040479183197021,328.4752797666408,0.1871632304668503,0.6000000000000001,True
0,50,500,16,0.2728068828582763,112.36910818026396,0.2156917297357186,0.6000000000000001,True
0,150,500,4,0.6804063320159912,0.8685848270806326,0.1851881402051503,0.2,False
0,50,500,8,0.2710647583007812,3.483144870214085,0.173266593229224,0.2,False
0,300,300,16,0.7259066104888916,38.89237086015381,0.1527479719765367,0.4,True
0,300,150,8,0.2510755062103271,6.259082816681899,0.2528209202998985,0.8,False
0,50,500,4,0.2100484371185302,1.284246164836289,0.2242900272667312,0.4,False
0,50,500,8,0.2315735816955566,5.284576400667596,0.1988726849786877,0.4,False
0,150,150,32,0.1745493412017822,402.2851911671863,0.2387636952243399,0.8,True
0,50,500,16,0.2540566921234131,140.99090066447218,0.2693562000945039,0.8,True
0,150,150,32,0.2600777149200439,53.87644242917575,0.1027688117780075,0.2,False
0,50,500,4,0.1790549755096435,1.9699313096457136,0.2546490290496954,0.6000000000000001,False
0,50,500,16,0.3310878276824951,17.66028870642358,0.1348591994464855,0.2,False
0,50,500,8,0.2115569114685058,5.51474897736441,0.2135203955288668,0.6000000000000001,False
0,150,150,32,0.2475645542144775,107.2253448517452,0.1193595961401996,0.4,False
0,150,500,4,0.5596597194671631,2.1534529267162026,0.2879837182348944,0.4,False
0,300,300,8,0.7582004070281982,3.999678530043368,0.1640821608066524,0.2,True
0,50,500,16,0.3055672645568847,28.94669590509006,0.1607839375702579,0.4,False
