run,state,missing,SS ratio,agents,observations,Time,RFN,KL,Inaccuracy
0,8,0.4,0.4,50,300,0.076151848,0.671389895,2.857087447,0.167847474
0,32,0.8,0.4,150,150,0.102308512,0.807357469,58.90496677,0.100919684
0,8,0.8,0.4,300,150,0.147615433,0.665590354,3.238307579,0.166397589
0,8,0.6,0.4,50,300,0,0.673607149,2.856385388,0.168401787
0,32,0.2,0.6,150,150,0,0.755395619,28.01886361,0.094424452
0,32,0.4,0.6,150,150,0.105330467,0.755395619,28.01886361,0.094424452
0,8,0.8,0.4,50,300,0.062118769,0.695780077,3.190663941,0.173945019
0,8,0.2,0.6,300,150,0,0.653055141,3.156541353,0.163263785
0,8,0.2,0.6,50,300,0,0.67536275,2.898355857,0.168840687
0,32,0.6,0.6,150,150,0,0.755395619,28.01886361,0.094424452
0,8,0.4,0.6,300,150,0.149917126,0.653055141,3.156541353,0.163263785
0,8,0.4,0.6,50,300,0.069609404,0.67536275,2.898355857,0.168840687
0,32,0.8,0.6,150,150,0.102137089,0.780634345,45.40607888,0.097579293
0,4,0.2,0.2,50,300,0,0.551931683,0.864526746,0.195137318
0,8,0.6,0.6,50,300,0,0.67536275,2.898355857,0.168840687
0,8,0.6,0.6,300,150,0,0.653055141,3.156541353,0.163263785
0,32,0,0,300,500,0.98035121,0.673484989,11.95322018,0.084185624
0,32,0.2,0.8,150,150,0,0.774259684,40.36167724,0.09678246
0,4,0.4,0.2,50,300,0.077186346,0.543691447,0.838223899,0.192223954
0,64,0,0,150,300,0.405468464,0.732710799,30.04021257,0.064763097
0,8,0.8,0.6,50,300,0.068236351,0.676480075,2.92012448,0.169120019
0,32,0.4,0.8,150,150,0.105284929,0.774259684,40.36167724,0.09678246
0,4,0.6,0.2,50,300,0,0.536244748,0.828155597,0.189591149
0,8,0.8,0.6,300,150,0.155370474,0.657449785,3.209397853,0.164362446
0,8,0.2,0.8,50,300,0,0.674828908,2.909629564,0.168707227
0,32,0.6,0.8,150,150,0,0.774259684,40.36167724,0.09678246
0,8,0.4,0.8,50,300,0.064636469,0.674828908,2.909629564,0.168707227
0,4,0.8,0.2,50,300,0.05457592,0.525125563,0.810623955,0.185659923
0,64,0.2,0,150,300,0,0.749752092,34.47775319,0.066269349
0,8,0.2,0.8,300,150,0,0.660972288,3.234033277,0.165243072
0,32,0.8,0.8,150,150,0.102782726,0.776504796,44.03773192,0.0970631
0,8,0.6,0.8,50,300,0,0.674828908,2.909629564,0.168707227
0,4,0.2,0.4,50,300,0,0.535282822,0.82131775,0.189251057
0,8,0.8,0.8,50,300,0.066598177,0.674081864,2.8946189,0.168520466
0,4,0.4,0.4,50,300,0.074100494,0.535282822,0.82131775,0.189251057
0,64,0.4,0,150,300,0.346789598,0.798986776,67.23313001,0.070621121
0,8,0.4,0.8,300,150,0.142822027,0.660972288,3.234033277,0.165243072
0,16,0.2,0.2,300,300,0,0.663184673,5.660746295,0.117235595
0,32,0.2,0,300,500,0,0.673333956,11.93590846,0.084166744
0,4,0.6,0.4,50,300,0,0.537560776,0.829772592,0.190056435
0,8,0.6,0.8,300,150,0,0.660972288,3.234033277,0.165243072
0,64,0.6,0,150,300,0,0.88388828,222.7613003,0.078125425
0,4,0.8,0.4,50,300,0.053369045,0.52063468,0.772556569,0.184072156
0,4,0.2,0.6,50,300,0,0.560072338,0.889317686,0.198015474
0,8,0.8,0.8,300,150,0.138894558,0.658784385,3.216411619,0.164696096
0,64,0.8,0,150,300,0.28767705,1.286080697,780.0886939,0.113674548
0,4,0.4,0.6,50,300,0.070137501,0.560072338,0.889317686,0.198015474
0,4,0.6,0.6,50,300,0,0.560072338,0.889317686,0.198015474
0,16,0.4,0.2,300,300,0.465633869,0.666241397,5.721177788,0.117775952
0,32,0.4,0,300,500,0.802305937,0.678451237,12.18327687,0.084806405
0,4,0.8,0.6,50,300,0.053574085,0.566700293,0.919623903,0.20035881
0,4,0.2,0.8,50,300,0,0.562255907,0.903614843,0.198787482
0,8,0,0,50,500,0.168411255,0.602025818,2.530462909,0.150506455
0,4,0.4,0.8,50,300,0.057691097,0.562255907,0.903614843,0.198787482
0,8,0.2,0,50,500,0,0.601594117,2.536344669,0.150398529
0,8,0.4,0,50,500,0.133385897,0.605331696,2.60825613,0.151332924
0,16,0.6,0.2,300,300,0,0.663805276,5.701878191,0.117345303
0,4,0.6,0.8,50,300,0,0.562255907,0.903614843,0.198787482
0,8,0.6,0,50,500,0,0.609030916,2.551818833,0.152257729
0,32,0.6,0,300,500,0,0.679639873,12.19234792,0.084954984
0,4,0.8,0.8,50,300,0.053248167,0.56010867,0.89815747,0.198028319
0,8,0.8,0,50,500,0.108875036,0.656389831,2.844421566,0.164097458
0,8,0,0,300,300,0.542583704,0.613966076,2.447475143,0.153491519
0,4,0.2,0.2,150,500,0,0.37990636,0.52070157,0.134317182
0,16,0.2,0.2,50,500,0,0.651387062,5.43567777,0.115150052
0,16,0.8,0.2,300,300,0.321904898,0.673782214,5.923704756,0.119108993
0,32,0.8,0,300,500,0.581551552,0.759256462,20.70760711,0.094907058
0,8,0.2,0,300,300,0,0.6122646,2.432313601,0.15306615
0,4,0,0,50,500,0.18243742,0.499583903,0.818633302,0.176629583
0,16,0.4,0.2,50,500,0.180381298,0.656530164,5.524590715,0.116059233
0,4,0.2,0,50,500,0,0.507379292,0.834181977,0.179385669
0,32,0,0,150,300,0.33878231,0.684522115,12.75597784,0.085565264
0,8,0.4,0,300,300,0.388391256,0.617476363,2.473426065,0.154369091
0,4,0.4,0.2,150,500,0.349287987,0.384595996,0.530319616,0.135975218
0,4,0.4,0,50,500,0.119710445,0.502010264,0.866316959,0.177487431
0,16,0.2,0.4,300,300,0,0.663009477,5.657357028,0.117204624
0,4,0.6,0,50,500,0,0.482666561,0.771641964,0.170648399
0,32,0.2,0,150,300,0,0.690729088,13.03923502,0.086341136
0,4,0.8,0,50,500,0.08916378,0.48070259,1.825678168,0.169954031
0,64,0.2,0.2,150,300,0,0.743139954,32.42229715,0.065684913
0,16,0.6,0.2,50,500,0,0.658075261,5.634019363,0.11633237
0,8,0.6,0,300,300,0,0.619588602,2.480404545,0.154897151
0,32,0.4,0,150,300,0.269946098,0.710309754,13.98194266,0.088788719
0,8,0.8,0,300,300,0.269307137,0.630653633,2.640666137,0.157663408
0,16,0.4,0.4,300,300,0.382225275,0.663009477,5.657357028,0.117204624
0,4,0.6,0.2,150,500,0,0.378285216,0.512970231,0.133744021
0,16,0.8,0.2,50,500,0.142344713,0.721918061,8.333249072,0.127618289
0,32,0.6,0,150,300,0,0.738778695,15.58673641,0.092347337
0,64,0.4,0.2,150,300,0.347325563,0.764592066,38.78217406,0.067581029
0,32,0.8,0,150,300,0.214584827,0.887649385,143.3236804,0.110956173
0,16,0.2,0.4,50,500,0,0.655734092,5.530443196,0.115918506
0,16,0.6,0.4,300,300,0,0.663324467,5.663284284,0.117260307
0,4,0.8,0.2,150,500,0.261590958,0.393840096,0.553845426,0.139243501
0,16,0.4,0.4,50,500,0.156732321,0.655734092,5.530443196,0.115918506
0,64,0.6,0.2,150,300,0,0.816831697,96.71232103,0.072198404
0,16,0.6,0.4,50,500,0,0.657681438,5.569142896,0.116262751
0,4,0.2,0.4,150,500,0,0.386628321,0.534348665,0.136693754
0,64,0.8,0.2,150,300,0.289237261,1.051752399,524.5788545,0.092962657
0,16,0.8,0.4,300,300,0.319286346,0.662508455,5.675893053,0.117116055
0,16,0.8,0.4,50,500,0.151005268,0.675072096,5.860066005,0.119337014
0,64,0.2,0.4,150,300,0,0.776279403,46.24726137,0.068614054
0,4,0.4,0.4,150,500,0.315253019,0.386628321,0.534348665,0.136693754
0,16,0.2,0.6,50,500,0,0.672380654,5.919622369,0.11886123
0,16,0.2,0.6,300,300,0,0.664492057,5.692396311,0.11746671
0,16,0.4,0.6,50,500,0.167413235,0.672380654,5.919622369,0.11886123
0,64,0.4,0.4,150,300,0.325435877,0.776279403,46.24726137,0.068614054
0,4,0.6,0.4,150,500,0,0.388028486,0.53561354,0.137188787
0,16,0.4,0.6,300,300,0.323328495,0.664492057,5.692396311,0.11746671
0,16,0.6,0.6,50,500,0,0.672380654,5.919622369,0.11886123
0,32,0.2,0.2,150,300,0,0.686713426,12.81745272,0.085839178
0,8,0.2,0.2,300,300,0,0.614027075,2.448265909,0.153506769
0,64,0.6,0.4,150,300,0,0.791479041,60.91131841,0.069957525
0,16,0.8,0.6,50,500,0.141880989,0.677146324,6.010943498,0.119703689
0,32,0.4,0.2,150,300,0.272606134,0.68698174,12.87178221,0.085872717
0,16,0.6,0.6,300,300,0,0.664492057,5.692396311,0.11746671
0,4,0.8,0.4,150,500,0.257108688,0.390748458,0.546039288,0.138150442
0,16,0.2,0.8,50,500,0,0.67755158,6.014492352,0.119775329
0,8,0.4,0.2,300,300,0.41651535,0.613787391,2.450549249,0.153446848
0,64,0.8,0.4,150,300,0.289308548,0.919848238,308.0375697,0.081303866
0,32,0.6,0.2,150,300,0,0.704716656,13.67594054,0.088089582
0,16,0.4,0.8,50,500,0.145441771,0.67755158,6.014492352,0.119775329
0,8,0.2,0.2,50,500,0,0.593143703,2.470524631,0.148285926
0,4,0.2,0.6,150,500,0,0.385776661,0.527381386,0.136392647
0,64,0.2,0.6,150,300,0,0.847790456,166.0179866,0.074934798
0,16,0.8,0.6,300,300,0.312204361,0.663574867,5.667996241,0.117304572
0,16,0.6,0.8,50,500,0,0.67755158,6.014492352,0.119775329
0,8,0.6,0.2,300,300,0,0.611369485,2.432605052,0.152842371
0,32,0.8,0.2,150,300,0.214107752,0.781502281,37.73754915,0.097687785
0,8,0.4,0.2,50,500,0.139383078,0.591160217,2.456081292,0.147790054
0,16,0.8,0.8,50,500,0.135248423,0.676962819,6.01901892,0.11967125
0,64,0.4,0.6,150,300,0.300811768,0.847790456,166.0179866,0.074934798
0,4,0.4,0.6,150,500,0.268257141,0.385776661,0.527381386,0.136392647
0,32,0.2,0.4,150,300,0,0.690144192,12.9675708,0.086268024
0,16,0.2,0.8,300,300,0,0.663257345,5.664908173,0.117248442
0,8,0.6,0.2,50,500,0,0.597810793,2.52952756,0.149452698
0,8,0.8,0.2,300,300,0.295204401,0.633533689,2.607820257,0.158383422
0,32,0.4,0.4,150,300,0.248523712,0.690144192,12.9675708,0.086268024
0,4,0.2,0.2,50,500,0,0.497497361,0.844189741,0.175891879
0,64,0.6,0.6,150,300,0,0.847790456,166.0179866,0.074934798
0,4,0.6,0.6,150,500,0,0.385776661,0.527381386,0.136392647
0,8,0.8,0.2,50,500,0.105813503,0.615393417,2.494239825,0.153848354
0,16,0,0,150,150,0.14786768,0.680031193,6.162175438,0.120213667
0,8,0.2,0.4,300,300,0,0.609964644,2.413271786,0.152491161
0,16,0.4,0.8,300,300,0.328165531,0.663257345,5.664908173,0.117248442
0,16,0.2,0,150,150,0,0.684743674,6.240950096,0.121046724
0,32,0.6,0.4,150,300,0,0.695715335,13.20058546,0.086964417
0,8,0.2,0.4,50,500,0,0.601490666,2.52554164,0.150372667
0,4,0.4,0.2,50,500,0.12079978,0.47691316,0.769555925,0.168614265
0,16,0.4,0,150,150,0.108304977,0.677197992,6.107262948,0.119712823
0,32,0.2,0.2,300,500,0,0.674782113,11.9980573,0.084347764
0,64,0.8,0.6,150,300,0.292114735,0.885717917,249.2530142,0.078287143
0,16,0.6,0,150,150,0,0.714423428,6.885460085,0.126293413
0,8,0.4,0.4,50,500,0.134260178,0.601490666,2.52554164,0.150372667
0,16,0.8,0,150,150,0.08629775,0.811012617,16.95270875,0.14336813
0,4,0.8,0.6,150,500,0.250770569,0.386112326,0.532713583,0.136511322
0,4,0.6,0.2,50,500,0,0.493462672,0.787620228,0.174465401
0,32,0.8,0.4,150,300,0.213115692,0.725953362,15.77230695,0.09074417
0,8,0.4,0.4,300,300,0.371086597,0.609964644,2.413271786,0.152491161
0,16,0.6,0.8,300,300,0,0.663257345,5.664908173,0.117248442
0,8,0.6,0.4,50,500,0,0.60025709,2.521069305,0.150064273
0,64,0.2,0.8,150,300,0,0.881040793,240.0407726,0.07787374
0,4,0.8,0.2,50,500,0.095203876,0.518306665,1.88341308,0.183249079
0,32,0.2,0.6,150,300,0,0.703911603,13.76857953,0.08798895
0,4,0.2,0.8,150,500,0,0.386901653,0.534807556,0.136790391
0,16,0.2,0.2,150,150,0,0.675075849,6.068709258,0.119337678
0,8,0.8,0.4,50,500,0.114856482,0.603038826,2.556252687,0.150759707
0,4,0.2,0.4,50,500,0,0.512383197,0.873396915,0.181154817
0,64,0.4,0.8,150,300,0.281618118,0.881040793,240.0407726,0.07787374
0,8,0.6,0.4,300,300,0,0.610107651,2.418360276,0.152526913
0,16,0.4,0.2,150,150,0.14187336,0.671392936,6.000583728,0.118686624
0,16,0.8,0.8,300,300,0.346365452,0.664079097,5.682560879,0.117393708
0,32,0.4,0.6,150,300,0.225508928,0.703911603,13.76857953,0.08798895
0,8,0.2,0.6,50,500,0,0.601225651,2.548258295,0.150306413
0,4,0.4,0.4,50,500,0.113684177,0.512383197,0.873396915,0.181154817
0,16,0.6,0.2,150,150,0,0.681460462,6.182402694,0.120466328
0,4,0.4,0.8,150,500,0.248656988,0.386901653,0.534807556,0.136790391
0,8,0.4,0.6,50,500,0.111287355,0.601225651,2.548258295,0.150306413
0,64,0.6,0.8,150,300,0,0.881040793,240.0407726,0.07787374
0,4,0.6,0.4,50,500,0,0.518199545,0.884910811,0.183211206
0,16,0.8,0.2,150,150,0.08362031,0.699819638,7.021804533,0.123711803
0,32,0.6,0.6,150,300,0,0.703911603,13.76857953,0.08798895
0,32,0.4,0.2,300,500,0.815872431,0.676477359,12.07605929,0.08455967
0,8,0.8,0.4,300,300,0.285547733,0.599602915,2.33110191,0.149900729
0,16,0.2,0.4,150,150,0,0.677729038,6.119125387,0.1198067
0,8,0.6,0.6,50,500,0,0.601225651,2.548258295,0.150306413
0,16,0.4,0.4,150,150,0.111823559,0.677729038,6.119125387,0.1198067
0,4,0.8,0.4,50,500,0.089279652,0.5170753,0.865886917,0.182813725
0,64,0.8,0.8,150,300,0.284722805,0.885686172,244.910746,0.078284337
0,32,0.8,0.6,150,300,0.219985008,0.720120659,15.50850761,0.090015082
0,4,0.6,0.8,150,500,0,0.386901653,0.534807556,0.136790391
0,8,0.8,0.6,50,500,0.10919857,0.592087467,2.475193067,0.148021867
0,16,0.6,0.4,150,150,0,0.680708846,6.189518285,0.12033346
0,4,0.2,0.6,50,500,0,0.539047126,0.920511818,0.190581939
0,8,0.2,0.6,300,300,0,0.610182359,2.422607836,0.15254559
0,16,0.8,0.4,150,150,0.085150003,0.716308403,6.852856323,0.126626632
0,8,0.2,0.8,50,500,0,0.593200302,2.487570282,0.148300076
0,4,0.4,0.6,50,500,0.100883007,0.539047126,0.920511818,0.190581939
0,32,0.2,0.8,150,300,0,0.719131144,15.46615458,0.089891393
0,16,0.2,0.6,150,150,0,0.692704601,6.415123219,0.12245403
0,4,0.8,0.8,150,500,0.284488201,0.385923946,0.530146869,0.13644472
0,8,0.4,0.8,50,500,0.112328768,0.593200302,2.487570282,0.148300076
0,16,0.4,0.6,150,150,0.099357128,0.692704601,6.415123219,0.12245403
0,4,0.6,0.6,50,500,0,0.539047126,0.920511818,0.190581939
0,32,0.4,0.8,150,300,0.217121601,0.719131144,15.46615458,0.089891393
0,8,0.4,0.6,300,300,0.302869797,0.610182359,2.422607836,0.15254559
0,16,0.6,0.6,150,150,0,0.692704601,6.415123219,0.12245403
0,8,0.6,0.8,50,500,0,0.593200302,2.487570282,0.148300076
0,4,0.8,0.6,50,500,0.104300022,0.548360921,0.940453442,0.193874863
0,16,0.8,0.6,150,150,0.091301203,0.705932513,6.715283376,0.124792417
0,4,0,0,300,150,0.278746128,0.474188976,0.720584402,0.16765112
0,32,0.6,0.2,300,500,0,0.683157265,12.3137576,0.085394658
0,16,0.2,0.8,150,150,0,0.698895936,6.566212963,0.123548514
0,8,0.8,0.8,50,500,0.108190298,0.593709031,2.486999566,0.148427258
0,32,0.6,0.8,150,300,0,0.719131144,15.46615458,0.089891393
0,4,0.2,0.8,50,500,0,0.54049955,0.919543684,0.191095448
0,4,0.2,0,300,150,0,0.477422539,0.728648838,0.168794358
0,16,0.4,0.8,150,150,0.088812351,0.698895936,6.566212963,0.123548514
0,8,0.6,0.6,300,300,0,0.610182359,2.422607836,0.15254559
0,4,0.4,0.8,50,500,0.0978508,0.54049955,0.919543684,0.191095448
0,4,0.4,0,300,150,0.204181194,0.465903111,0.706057831,0.164721624
0,16,0.6,0.8,150,150,0,0.698895936,6.566212963,0.123548514
0,32,0.8,0.8,150,300,0.211595774,0.71807243,15.39366607,0.089759054
0,8,0,0,150,150,0.147414684,0.564385395,2.169328259,0.141096349
0,16,0.8,0.8,150,150,0.090757132,0.702842645,6.677935785,0.1242462
0,4,0.6,0,300,150,0,0.450496434,0.670023551,0.159274542
0,4,0.6,0.8,50,500,0,0.54049955,0.919543684,0.191095448
0,8,0.2,0,150,150,0,0.562985561,2.178494153,0.14074639
0,4,0.8,0,300,150,0.144396544,0.470676853,0.716304714,0.166409397
0,8,0.4,0,150,150,0.098707676,0.570163647,2.218830731,0.142540912
0,8,0.6,0,150,150,0,0.573697014,2.277760463,0.143424253
0,8,0.8,0.6,300,300,0.292778015,0.609846553,2.428554701,0.152461638
0,4,0.8,0.8,50,500,0.088131428,0.539355412,0.915224958,0.190690935
0,8,0.8,0,150,150,0.072602987,0.575561811,2.427673699,0.143890453
0,16,0,0,300,500,0.938878298,0.696201357,6.715339974,0.123072175
0,4,0,0,150,150,0.136846781,0.606468731,1.272941991,0.214419076
0,4,0.2,0,150,150,0,0.604900606,1.267124353,0.21386466
0,32,0.8,0.2,300,500,0.593412161,0.706473674,13.40376375,0.088309209
0,4,0.4,0,150,150,0.101290941,0.606394439,1.261646259,0.21439281
0,8,0.2,0.8,300,300,0,0.61023317,2.429140279,0.152558292
0,4,0.6,0,150,150,0,0.609052209,1.279990098,0.215332473
0,4,0.2,0.2,300,150,0,0.475964534,0.728666241,0.168278875
0,4,0.8,0,150,150,0.071163416,0.603450627,1.282262599,0.213352015
0,8,0.2,0.2,150,150,0,0.563047108,2.162139432,0.140761777
0,8,0.4,0.2,150,150,0.109401464,0.562365061,2.140575808,0.140591265
0,4,0.4,0.2,300,150,0.206721544,0.476613242,0.727387127,0.168508228
0,16,0.2,0,300,500,0,0.699483767,6.780029579,0.123652429
0,8,0.6,0.2,150,150,0,0.555018312,2.09496548,0.138754578
0,8,0.4,0.8,300,300,0.286307335,0.61023317,2.429140279,0.152558292
0,16,0,0,150,300,0.305868626,0.656598326,5.725534729,0.116071282
0,4,0.6,0.2,300,150,0,0.475993704,0.722852121,0.168289188
0,8,0.8,0.2,150,150,0.08168292,0.61719,2.536078152,0.1542975
0,4,0.2,0.2,150,150,0,0.608085727,1.283369681,0.214990771
0,16,0.2,0,150,300,0,0.663009786,5.843491827,0.117204679
0,8,0.2,0.4,150,150,0,0.565397636,2.177305493,0.141349409
0,4,0.8,0.2,300,150,0.157800198,0.453393132,0.67166316,0.160298679
0,4,0.4,0.2,150,150,0.110217571,0.602617399,1.256583948,0.213057425
0,8,0.4,0.4,150,150,0.112188339,0.565397636,2.177305493,0.141349409
0,16,0.4,0,150,300,0.223537445,0.664797778,5.885552452,0.117520754
0,4,0.6,0.2,150,150,0,0.599974771,1.229175379,0.212123115
0,16,0.4,0,300,500,0.738909006,0.695976921,6.718800781,0.1230325
0,8,0.6,0.8,300,300,0,0.61023317,2.429140279,0.152558292
0,4,0.2,0.4,300,150,0,0.477072334,0.728131817,0.168670541
0,8,0.6,0.4,150,150,0,0.570689966,2.204931009,0.142672491
0,16,0.6,0,150,300,0,0.658866829,5.742134454,0.116472301
0,4,0.8,0.2,150,150,0.075619459,0.605415895,1.300543894,0.214046842
0,32,0.2,0.4,300,500,0,0.67815423,12.14555632,0.084769279
0,8,0.8,0.4,150,150,0.083658218,0.578057239,2.360852821,0.14451431
0,16,0.8,0,150,300,0.172321081,0.690850806,7.656220243,0.122126322
0,4,0.4,0.4,300,150,0.17281723,0.477072334,0.728131817,0.168670541
0,4,0.2,0.4,150,150,0,0.605094311,1.262517304,0.213933145
0,8,0.2,0.6,150,150,0,0.582547848,2.345742197,0.145636962
0,4,0.4,0.4,150,150,0.098830462,0.605094311,1.262517304,0.213933145
0,8,0.4,0.6,150,150,0.091197252,0.582547848,2.345742197,0.145636962
0,4,0.6,0.4,300,150,0,0.482173506,0.740763707,0.170474078
0,4,0.6,0.4,150,150,0,0.59927423,1.24214678,0.211875436
0,8,0.8,0.8,300,300,0.299752474,0.610687442,2.431832312,0.15267186
0,16,0.6,0,300,500,0,0.699016531,6.779061347,0.123569832
0,8,0.6,0.6,150,150,0,0.582547848,2.345742197,0.145636962
0,4,0.8,0.4,150,150,0.08577466,0.588680397,1.156403239,0.20812995
0,4,0.8,0.4,300,150,0.141896963,0.482192005,0.731617365,0.170480618
0,8,0.8,0.6,150,150,0.086324453,0.583234143,2.493050643,0.145808536
0,4,0.2,0.6,150,150,0,0.598198449,1.22416241,0.21149509
0,8,0.2,0.8,150,150,0,0.577970601,2.383310511,0.14449265
0,4,0.4,0.6,150,150,0.075125217,0.598198449,1.22416241,0.21149509
0,4,0.2,0.6,300,150,0,0.490131267,0.752297514,0.173287571
0,16,0.8,0,300,500,0.513284922,0.710706294,7.10373834,0.12563631
0,8,0.4,0.8,150,150,0.091826916,0.577970601,2.383310511,0.14449265
0,4,0.6,0.6,150,150,0,0.598198449,1.22416241,0.21149509
0,4,0.4,0.6,300,150,0.146531105,0.490131267,0.752297514,0.173287571
0,8,0.6,0.8,150,150,0,0.577970601,2.383310511,0.14449265
0,4,0.8,0.6,150,150,0.076720715,0.591322326,1.191616148,0.209064013
0,8,0.8,0.8,150,150,0.093780518,0.584953622,2.4260019,0.146238405
0,4,0.2,0.8,150,150,0,0.594340107,1.203883908,0.21013096
0,32,0.4,0.4,300,500,0.744100094,0.67815423,12.14555632,0.084769279
0,4,0.6,0.6,300,150,0,0.490131267,0.752297514,0.173287571
