run,state,missing,Time,TVD,Norm diff,SS ratio,agents,observations
0,4,0.0,0.062126874923706,0.054221329388857,0.0275444881190483,0.0,50,150
0,64,0.0,0.0611183643341064,16.75249143939769,0.5262468032258456,0.0,50,150
0,4,0.2,0.0491089820861816,0.0996888985124472,0.0486650366323216,0.0,50,150
0,64,0.2,0.0531167984008789,21.26476711814376,0.6730734708996109,0.0,50,150
0,4,0.4,0.043748140335083,0.1004005376447943,0.0485669988739404,0.0,50,150
0,64,0.4,0.0491211414337158,27.314451751771195,0.8695953916937118,0.0,50,150
0,4,0.6000000000000001,0.035048484802246,0.1546629673360735,0.0827392168248967,0.0,50,150
0,64,0.6000000000000001,0.0352118015289306,40.65293772865387,1.4034049178091177,0.0,50,150
0,4,0.8,0.0210332870483398,0.2653216836814128,0.1377031996021343,0.0,50,150
0,32,0.0,0.120866060256958,2.979712435232687,0.1820274391521459,0.0,50,300
0,64,0.8,0.0270678997039794,54.34133653088805,2.908016245083925,0.0,50,150
0,32,0.2,0.0841660499572753,3.719301920789124,0.2233860333431893,0.0,50,300
0,8,0.0,0.1561191082000732,0.142492980687818,0.037758612336663,0.0,150,150
0,64,0.2,0.041593313217163,19.144990442679468,0.5990220671225651,0.2,50,150
0,4,0.2,0.0511081218719482,0.0880662170522165,0.0477395111151773,0.2,50,150
0,16,0.0,0.154958963394165,0.5624235652537645,0.0719231124760909,0.0,50,500
0,32,0.4,0.0847036838531494,5.1781188050374025,0.3210700047359581,0.0,50,300
0,32,0.6000000000000001,0.0572509765625,7.457684648287725,0.4663556973920069,0.0,50,300
0,8,0.2,0.1304457187652588,0.1441227381903131,0.0381134553818539,0.0,150,150
0,4,0.4,0.0315542221069335,0.0722330855848225,0.0367202756426102,0.2,50,150
0,64,0.4,0.0506031513214111,24.254169814555866,0.7685802779716678,0.2,50,150
0,16,0.2,0.1213099956512451,0.7398228057293352,0.0961591410901673,0.0,50,500
0,32,0.8,0.0447239875793457,13.840009100161613,0.8679050939618363,0.0,50,300
0,16,0.0,0.2828776836395263,0.4177120702390058,0.0521369541841493,0.0,300,150
0,8,0.4,0.0992162227630615,0.2813527626843238,0.0714450346492404,0.0,150,150
0,4,0.0,0.2617204189300537,0.0270701240698441,0.0150637877182335,0.0,150,300
0,4,0.6000000000000001,0.0240261554718017,0.2486889768795042,0.1490001125546637,0.2,50,150
0,64,0.6000000000000001,0.0250360965728759,42.20848244163021,1.525748804952519,0.2,50,150
0,64,0.0,0.3062798976898193,6.789000450219583,0.2143403840080317,0.0,150,300
0,16,0.4,0.1199173927307128,0.9383460117192952,0.1183387276502465,0.0,50,500
0,8,0.6000000000000001,0.0821726322174072,0.3613645373628414,0.0921084097495834,0.0,150,150
0,64,0.8,0.024562120437622,50.92844893241256,2.295475173733365,0.2,50,150
0,4,0.8,0.0270671844482421,0.2258917333690756,0.1085836154570103,0.2,50,150
0,16,0.6000000000000001,0.0842952728271484,1.515851676575929,0.2008565556036799,0.0,50,500
0,8,0.8,0.0641534328460693,0.8682730441973694,0.232253993480488,0.0,150,150
0,64,0.2,0.0431702136993408,23.68490490350587,0.7502646723465168,0.4,50,150
0,4,0.2,0.0371553897857666,0.0714413768770508,0.0374947361619577,0.4,50,150
0,32,0.2,0.0762112140655517,3.3696894101011643,0.2046270978922555,0.2,50,300
0,16,0.8,0.0838782787322998,3.217426987239361,0.4113707225614562,0.0,50,500
0,16,0.2,0.2508413791656494,0.5292048461603585,0.0642293881618184,0.0,300,150
0,4,0.2,0.2444026470184326,0.0354336218731204,0.0182578607343468,0.0,150,300
0,64,0.4,0.0315682888031005,22.77169451528105,0.7281761398227109,0.4,50,150
0,8,0.2,0.1384632587432861,0.1796329762367039,0.0465511340951779,0.2,150,150
0,64,0.2,0.2484605312347412,8.568308653823022,0.2710587316210682,0.0,150,300
0,32,0.0,0.473597764968872,1.315734994555609,0.0851614939437886,0.0,150,500
0,4,0.4,0.0315639972686767,0.0477786291673538,0.0229233990243881,0.4,50,150
0,64,0.6000000000000001,0.0290718078613281,45.94607836759657,1.72855973000437,0.4,50,150
0,4,0.6000000000000001,0.0316588878631591,0.2180738523690274,0.1255509680933283,0.4,50,150
0,8,0.4,0.0996901988983154,0.2199754030096936,0.060545638423018,0.2,150,150
0,8,0.0,0.5732557773590088,0.0777612739080422,0.0192202652773018,0.0,300,300
0,64,0.8,0.0290548801422119,46.3535390334312,1.7978429274674863,0.4,50,150
0,32,0.4,0.0892248153686523,4.302385568070788,0.2667456192377283,0.2,50,300
0,4,0.8,0.022050142288208,0.2295898448077905,0.1161691337959334,0.4,50,150
0,16,0.4,0.2227463722229004,0.7123068294903815,0.0849480077237367,0.0,300,150
0,4,0.4,0.2001435756683349,0.0474368811626859,0.0269826062732215,0.0,150,300
0,64,0.2,0.036710500717163,23.755312024734497,0.7477752833594103,0.6000000000000001,50,150
0,64,0.4,0.2112979888916015,11.43274570387797,0.3588549987721436,0.0,150,300
0,4,0.2,0.0325558185577392,0.0805807013791813,0.0447260632434183,0.6000000000000001,50,150
0,8,0.6000000000000001,0.0873336791992187,0.3640479314754636,0.0984875647050102,0.2,150,150
0,64,0.4,0.0260381698608398,35.80072970584693,1.2038202551003196,0.6000000000000001,50,150
0,4,0.4,0.0256087779998779,0.2161239422410968,0.111222450009961,0.6000000000000001,50,150
0,16,0.6000000000000001,0.1584572792053222,0.9691749712438028,0.1184702775775257,0.0,300,150
0,4,0.6000000000000001,0.0210402011871337,0.2855751889724789,0.15022030000746,0.6000000000000001,50,150
