Scenario,states,missing,SS ratio,agents,observations,Inaccuracy
polarization,4,0.8,0.2,300,300,0.034512509
polarization,4,0.8,0.6,150,150,0.235752009
polarization,16,0.4,0.4,50,300,0.158163812
polarization,4,0.2,0.8,150,150,0.214064191
polarization,12,0.6,0.6,150,300,0.189801496
polarization,2,0.2,0.4,150,300,0.05768153
polarization,2,0.8,0.8,300,500,0.169600938
polarization,4,0.4,0.8,150,150,0.196293665
polarization,4,0.8,0.6,50,500,0.246315546
polarization,16,0.6,0.4,50,300,0.178547895
polarization,4,0.6,0.8,300,300,0.362027611
polarization,4,0.6,0.8,150,150,0.200533975
polarization,4,0.8,0.8,150,150,0.246783491
polarization,12,0.8,0.6,150,300,0.289076912
polarization,16,0.8,0.4,50,300,0.116605601
polarization,4,0,0,150,150,0.111968309
polarization,2,0.4,0.4,150,300,0.070930681
polarization,4,0.2,0,150,150,0.112792235
polarization,4,0.4,0,150,150,0.113638256
polarization,4,0.6,0,150,150,0.117128925
polarization,4,0.8,0,150,150,0.108912726
polarization,4,0.8,0.8,150,500,0.278881496
polarization,2,0.2,0.4,300,500,0.305297833
polarization,4,0.2,0.4,300,300,0.061981921
polarization,16,0.2,0.6,50,300,0.109746719
polarization,4,0.2,0.2,150,150,0.118574244
polarization,2,0.6,0.4,150,300,0.106596561
polarization,4,0.4,0.2,150,150,0.115238899
polarization,4,0.8,0.8,300,300,0.342383127
polarization,12,0.2,0.8,150,300,0.147405324
polarization,4,0.6,0.2,150,150,0.108442463
polarization,16,0.4,0.6,50,300,0.12821423
polarization,2,0.2,0.8,150,500,0.129721009
polarization,4,0.8,0.2,150,150,0.024770931
polarization,4,0.2,0.8,50,500,0.141486991
polarization,2,0.8,0.4,150,300,0.236098892
polarization,16,0.6,0.6,50,300,0.180189623
polarization,4,0.2,0.4,150,150,0.099528654
polarization,12,0.4,0.8,150,300,0.151977272
polarization,4,0,0,150,500,0.156871598
polarization,4,0.4,0.4,150,150,0.11090875
polarization,2,0,0,300,500,0.045093937
polarization,4,0.4,0.4,300,300,0.0710205
polarization,4,0.6,0.4,150,150,0.119970606
polarization,16,0.8,0.6,50,300,0.323887995
polarization,4,0,0,300,300,0.316801016
polarization,4,0.8,0.4,150,150,0.154379087
polarization,2,0.2,0.6,150,300,0.069463844
polarization,12,0.6,0.8,150,300,0.185327834
polarization,4,0.2,0,150,500,0.156296125
polarization,4,0.2,0.6,150,150,0.146935721
polarization,4,0.4,0.8,50,500,0.146994545
polarization,4,0.4,0.6,150,150,0.140217474
polarization,16,0.2,0.8,50,300,0.12010598
polarization,4,0.6,0.6,150,150,0.136191095
polarization,2,0.4,0.8,150,500,0.127298332
polarization,4,0.2,0,300,300,0.316691456
polarization,4,0.8,0.6,150,150,0.217484501
polarization,2,0.4,0.6,150,300,0.089275539
polarization,12,0.8,0.8,150,300,0.311447645
polarization,4,0.6,0.4,300,300,0.090773398
polarization,4,0.4,0,150,500,0.15780594
polarization,16,0.4,0.8,50,300,0.154833674
polarization,4,0.2,0.8,150,150,0.137185336
polarization,16,0.6,0.8,50,300,0.241715098
polarization,4,0.4,0.8,150,150,0.150544162
polarization,12,0,0,150,300,0.085759217
polarization,4,0.6,0.8,50,500,0.166885729
polarization,2,0.4,0.4,300,500,0.307105817
polarization,2,0.6,0.6,150,300,0.138430326
polarization,4,0.6,0,150,500,0.154309703
polarization,4,0.6,0.8,150,150,0.169244386
polarization,4,0.4,0,300,300,0.315785585
polarization,12,0.2,0,150,300,0.085529295
polarization,2,0.2,0,300,500,0.045175573
polarization,16,0.8,0.8,50,300,0.362446571
polarization,4,0.8,0.8,150,150,0.22538351
polarization,12,0.4,0,150,300,0.084294741
polarization,16,0,0,50,300,0.114354056
polarization,2,0,0,150,300,0.272466144
polarization,4,0.8,0,150,500,0.168034247
polarization,4,0.8,0.4,300,300,0.18374059
polarization,16,0.2,0,50,300,0.116643146
polarization,2,0.8,0.6,150,300,0.299451705
polarization,16,0.4,0,50,300,0.116118975
polarization,16,0.6,0,50,300,0.124419012
polarization,12,0.6,0,150,300,0.093684147
polarization,16,0.8,0,50,300,0.160841677
polarization,2,0.2,0,150,300,0.272323327
polarization,2,0.6,0.8,150,500,0.125682701
polarization,4,0.6,0,300,300,0.319975815
polarization,12,0.8,0,150,300,0.109256923
polarization,16,0.2,0.2,50,300,0.109067437
polarization,4,0.8,0.8,50,500,0.273297804
polarization,2,0.4,0,150,300,0.273848764
polarization,16,0.4,0.2,50,300,0.110599015
polarization,2,0.6,0,150,300,0.269203013
polarization,2,0.2,0.8,150,300,0.085740347
polarization,12,0.2,0.2,150,300,0.085898251
polarization,2,0.8,0,150,300,0.27258152
polarization,4,0.8,0,300,300,0.310222601
polarization,4,0,0,50,500,0.23130471
polarization,16,0.6,0.2,50,300,0.11413641
polarization,4,0.2,0,50,500,0.233247248
polarization,4,0.4,0,50,500,0.234180377
polarization,4,0.2,0.2,150,500,0.157719134
polarization,4,0.6,0,50,500,0.237474188
polarization,2,0.4,0.8,150,300,0.112085531
polarization,4,0.2,0.6,300,300,0.073742268
polarization,4,0.8,0,50,500,0.247362512
polarization,2,0.4,0,300,500,0.046922412
polarization,12,0.4,0.2,150,300,0.084296116
polarization,16,0.8,0.2,50,300,0.060484371
polarization,2,0.2,0.2,150,300,0.276787556
polarization,2,0.8,0.8,150,500,0.104153375
polarization,2,0.6,0.8,150,300,0.177380267
polarization,2,0.4,0.2,150,300,0.282265127
polarization,12,0.6,0.2,150,300,0.08711832
polarization,16,0.2,0.4,50,300,0.105996577
polarization,2,0.6,0.4,300,500,0.306441097
polarization,4,0.2,0.2,50,500,0.243843408
polarization,4,0.2,0.2,300,300,0.312932343
polarization,16,0.4,0.4,50,300,0.12594926
polarization,4,0.4,0.6,300,300,0.085548728
polarization,4,0.4,0.2,150,500,0.167309679
polarization,2,0.8,0.8,150,300,0.350645315
polarization,12,0.8,0.2,150,300,0.035644245
polarization,2,0.6,0.2,150,300,0.276524786
polarization,2,0,0,300,150,0.404759483
polarization,16,0.6,0.4,50,300,0.176133174
polarization,2,0.2,0,300,150,0.406203924
polarization,4,0,0,150,300,0.157488748
polarization,4,0.4,0.2,50,500,0.242182629
polarization,2,0.8,0.2,150,300,0.255610104
polarization,2,0.4,0,300,150,0.407930387
polarization,16,0.8,0.4,50,300,0.334218069
polarization,2,0.6,0,300,500,0.048315215
polarization,4,0.2,0,150,300,0.157778431
polarization,4,0.4,0.2,300,300,0.320529539
polarization,2,0.6,0,300,150,0.397739129
polarization,12,0.2,0.4,150,300,0.07276709
polarization,4,0.4,0,150,300,0.159454684
polarization,4,0.6,0.6,300,300,0.114203433
polarization,2,0.8,0,300,150,0.403347455
polarization,4,0.6,0,150,300,0.161797352
polarization,16,0.2,0.6,50,300,0.105711132
polarization,4,0.8,0,150,300,0.184841925
polarization,2,0.2,0.4,150,300,0.280553604
polarization,4,0.6,0.2,50,500,0.230383202
polarization,4,0.6,0.2,150,500,0.164695466
polarization,12,0.4,0.4,150,300,0.083859469
polarization,2,0.2,0.2,300,150,0.399630166
polarization,16,0.4,0.6,50,300,0.127241275
polarization,2,0.4,0.2,300,150,0.396236115
polarization,4,0.6,0.2,300,300,0.329751548
polarization,4,0.2,0.2,150,300,0.157888184
polarization,16,0.6,0.6,50,300,0.197481109
polarization,2,0.4,0.4,150,300,0.276823585
polarization,12,0.6,0.4,150,300,0.103845762
polarization,4,0.8,0.6,300,300,0.217092737
polarization,2,0.6,0.2,300,150,0.374769981
polarization,2,0.8,0.4,300,500,0.302655015
polarization,16,0.8,0.6,50,300,0.354193389
polarization,2,0.8,0,300,500,0.059062
polarization,4,0.4,0.2,150,300,0.166618618
polarization,4,0.8,0.2,50,500,0.155062556
polarization,2,0.8,0.2,300,150,0.339134802
polarization,2,0.6,0.4,150,300,0.280369767
polarization,12,0.8,0.4,150,300,0.21443991
polarization,4,0.8,0.2,300,300,0.271035601
polarization,4,0.8,0.2,150,500,0.13188302
polarization,16,0.2,0.8,50,300,0.127856325
polarization,2,0.2,0.4,300,150,0.378054241
polarization,4,0.6,0.2,150,300,0.173627693
polarization,2,0.8,0.4,150,300,0.283503262
polarization,2,0.4,0.4,300,150,0.374610179
polarization,16,0.4,0.8,50,300,0.161095681
polarization,12,0.2,0.6,150,300,0.101807356
polarization,4,0.8,0.2,150,300,0.160928457
polarization,2,0.6,0.4,300,150,0.371645174
polarization,16,0.6,0.8,50,300,0.264282245
polarization,4,0.2,0.8,300,300,0.082215978
polarization,2,0.8,0.4,300,150,0.388555741
polarization,4,0.2,0.4,50,500,0.232189718
polarization,2,0.2,0.6,150,300,0.267690242
polarization,12,0.4,0.6,150,300,0.115921957
polarization,16,0.8,0.8,50,300,0.347794078
polarization,2,0,0,50,500,0.154324844
polarization,4,0.2,0.4,300,300,0.318611364
polarization,2,0.2,0.6,300,150,0.349871849
polarization,4,0.2,0.4,150,300,0.171276399
polarization,2,0.2,0,50,500,0.154610041
polarization,2,0.4,0,50,500,0.157143959
polarization,2,0.4,0.6,150,300,0.276302716
polarization,12,0.6,0.6,150,300,0.136186912
polarization,2,0.6,0,50,500,0.162516672
polarization,2,0.8,0,50,500,0.182174145
polarization,2,0.4,0.6,300,150,0.35111296
polarization,4,0.4,0.8,300,300,0.099663931
polarization,4,0.2,0.4,150,500,0.164227197
polarization,4,0.4,0.4,150,300,0.179120947
polarization,4,0.4,0.4,50,500,0.2346186
polarization,2,0.6,0.6,300,150,0.354885375
polarization,2,0.6,0.6,150,300,0.263187535
polarization,12,0.8,0.6,150,300,0.257405197
polarization,2,0.2,0.2,50,500,0.152033701
polarization,4,0.4,0.4,300,300,0.324314412
polarization,2,0.8,0.6,300,150,0.385318219
polarization,4,0.6,0.4,150,300,0.197330829
polarization,2,0.2,0.2,300,500,0.044425264
polarization,2,0.8,0.6,150,300,0.260704501
polarization,2,0.2,0.6,300,500,0.321080264
polarization,2,0.2,0.8,300,150,0.359049454
polarization,4,0.6,0.4,50,500,0.232632513
polarization,4,0.6,0.8,300,300,0.137000226
polarization,12,0.2,0.8,150,300,0.108051945
polarization,4,0.8,0.4,150,300,0.300984272
polarization,2,0.4,0.2,50,500,0.158592152
polarization,2,0.4,0.8,300,150,0.381762367
polarization,4,0.4,0.4,150,500,0.167645124
polarization,4,0.6,0.4,300,300,0.316812708
polarization,2,0.2,0.8,150,300,0.257071086
polarization,12,0.4,0.8,150,300,0.125119136
polarization,2,0.6,0.8,300,150,0.362252652
polarization,4,0.2,0.6,150,300,0.189878408
polarization,2,0.8,0.8,300,150,0.38452895
polarization,4,0.8,0.4,50,500,0.202142004
polarization,4,0.8,0.8,300,300,0.27255904
polarization,2,0.6,0.2,50,500,0.177160188
polarization,2,0.4,0.8,150,300,0.251313252
polarization,12,0.6,0.8,150,300,0.154473231
polarization,2,0,0,300,150,0.292522773
polarization,4,0.8,0.4,300,300,0.341445446
polarization,4,0.4,0.6,150,300,0.19932584
polarization,2,0.2,0,300,150,0.292395804
polarization,2,0.6,0.8,150,300,0.257838263
polarization,12,0.8,0.8,150,300,0.285025355
polarization,2,0.4,0,300,150,0.29495331
polarization,4,0.6,0.4,150,500,0.164182228
polarization,2,0.6,0,300,150,0.297199952
polarization,8,0,0,300,300,0.204335208
polarization,4,0.6,0.6,150,300,0.226443009
polarization,2,0.8,0.2,50,500,0.151292735
polarization,2,0.4,0.2,300,500,0.041143908
polarization,2,0.8,0,300,150,0.293938235
polarization,16,0,0,150,300,0.274344759
polarization,2,0.8,0.8,150,300,0.286419837
polarization,2,0.4,0.6,300,500,0.322449979
polarization,4,0.2,0.6,50,500,0.248536103
polarization,16,0.2,0,150,300,0.274663501
polarization,4,0.8,0.6,150,300,0.358254517
polarization,2,0.2,0.2,300,150,0.295421123
polarization,16,0.4,0,150,300,0.272308081
polarization,2,0,0,150,300,0.244353719
polarization,8,0.2,0,300,300,0.203815284
polarization,4,0.2,0.6,300,300,0.315211609
polarization,16,0.6,0,150,300,0.271098371
polarization,2,0.4,0.2,300,150,0.302630992
polarization,2,0.2,0,150,300,0.24397027
polarization,16,0.8,0,150,300,0.296830873
polarization,4,0.8,0.4,150,500,0.196980395
polarization,2,0.4,0,150,300,0.241936375
polarization,2,0.6,0.2,300,150,0.295283685
polarization,4,0.4,0.6,50,500,0.255472338
polarization,2,0.6,0,150,300,0.244557648
polarization,4,0.2,0.8,150,300,0.18923933
polarization,8,0.4,0,300,300,0.204643833
polarization,2,0.8,0.2,300,150,0.234929124
polarization,2,0.2,0.4,50,500,0.162603666
polarization,2,0.8,0,150,300,0.239577881
polarization,16,0.2,0.2,150,300,0.268306208
polarization,4,0.4,0.6,300,300,0.304850688
polarization,2,0.2,0.4,300,150,0.297294196
polarization,4,0.4,0.8,150,300,0.203793902
polarization,8,0.6,0,300,300,0.204959484
polarization,2,0.2,0.2,150,300,0.23870702
polarization,16,0.4,0.2,150,300,0.269542966
polarization,2,0.4,0.4,300,150,0.289408978
polarization,4,0.6,0.6,50,500,0.261342462
polarization,2,0.4,0.4,50,500,0.172129411
polarization,4,0.6,0.8,150,300,0.246003906
polarization,2,0.6,0.4,300,150,0.287458491
polarization,2,0.6,0.2,300,500,0.053843654
polarization,2,0.4,0.2,150,300,0.23360196
polarization,16,0.6,0.2,150,300,0.281713259
polarization,8,0.8,0,300,300,0.212706789
polarization,2,0.8,0.4,300,150,0.314109591
polarization,4,0.6,0.6,300,300,0.308966565
polarization,2,0.6,0.6,300,500,0.322112852
polarization,4,0.8,0.8,150,300,0.344667502
polarization,4,0.2,0.6,150,500,0.14760286
polarization,2,0.6,0.2,150,300,0.233460488
polarization,16,0.8,0.2,150,300,0.234439864
polarization,4,0.8,0.6,50,500,0.305239365
polarization,2,0.2,0.6,300,150,0.293888442
polarization,2,0.6,0.4,50,500,0.177493005
polarization,4,0,0,150,300,0.125325848
polarization,2,0.4,0.6,300,150,0.298312408
polarization,2,0.8,0.2,150,300,0.18298987
polarization,4,0.2,0,150,300,0.126603817
polarization,4,0.8,0.6,300,300,0.307834966
polarization,2,0.6,0.6,300,150,0.30928239
polarization,4,0.4,0,150,300,0.128025864
polarization,16,0.2,0.4,150,300,0.261777302
polarization,8,0.2,0.2,300,300,0.208733969
polarization,2,0.8,0.6,300,150,0.319894379
polarization,4,0.6,0,150,300,0.130190257
polarization,2,0.8,0.4,50,500,0.277783649
polarization,4,0.8,0,150,300,0.149647309
polarization,2,0.2,0.4,150,300,0.234708204
polarization,16,0.4,0.4,150,300,0.271211954
polarization,4,0.4,0.6,150,500,0.152239281
polarization,4,0.2,0.8,50,500,0.254470267
polarization,2,0.2,0.8,300,150,0.303051112
polarization,2,0.8,0.2,300,500,0.018624926
polarization,4,0.2,0.2,150,300,0.12533447
polarization,2,0.4,0.8,300,150,0.296227895
polarization,8,0.4,0.2,300,300,0.208127916
polarization,2,0.4,0.4,150,300,0.247036834
polarization,16,0.6,0.4,150,300,0.279849522
polarization,2,0.6,0.8,300,150,0.314963323
polarization,4,0.4,0.2,150,300,0.13393611
polarization,4,0.2,0.8,300,300,0.303905755
polarization,2,0.8,0.6,300,500,0.325937207
polarization,2,0.6,0.4,150,300,0.249052835
polarization,4,0.4,0.8,50,500,0.260217811
polarization,16,0.8,0.4,150,300,0.34813866
polarization,2,0.8,0.8,300,150,0.296204266
polarization,2,0.2,0.6,50,500,0.153748331
polarization,4,0.6,0.6,150,500,0.162751798
polarization,4,0.6,0.2,150,300,0.146531785
polarization,2,0,0,300,150,0.172853765
polarization,8,0.6,0.2,300,300,0.209925036
polarization,2,0.8,0.4,150,300,0.231279212
polarization,2,0.2,0,300,150,0.173063601
polarization,16,0.2,0.6,150,300,0.310540551
polarization,2,0.4,0,300,150,0.175701933
polarization,4,0.4,0.8,300,300,0.308487813
polarization,4,0.8,0.2,150,300,0.123716277
polarization,4,0.6,0.8,50,500,0.261286746
polarization,2,0.6,0,300,150,0.179335304
polarization,2,0.4,0.6,50,500,0.167283598
polarization,8,0.8,0.2,300,300,0.187256317
polarization,2,0.2,0.6,150,300,0.222211288
polarization,16,0.4,0.6,150,300,0.30514787
polarization,2,0.8,0,300,150,0.176765164
polarization,4,0.8,0.6,150,500,0.210781313
polarization,4,0.2,0.4,150,300,0.137085865
polarization,2,0.2,0.2,300,150,0.170393944
polarization,2,0.4,0.6,150,300,0.221329095
polarization,16,0.6,0.6,150,300,0.349637307
polarization,4,0.8,0.8,50,500,0.321927832
polarization,4,0.6,0.8,300,300,0.305966377
polarization,2,0.4,0.2,300,150,0.175516018
polarization,2,0.6,0.6,50,500,0.186348462
polarization,4,0.4,0.4,150,300,0.147155779
polarization,2,0.6,0.2,300,150,0.18653705
polarization,2,0.6,0.6,150,300,0.236023563
polarization,16,0.8,0.6,150,300,0.364142419
polarization,4,0,0,50,500,0.143280822
polarization,2,0.8,0.2,300,150,0.128244484
polarization,4,0.2,0,50,500,0.143833556
polarization,4,0.4,0,50,500,0.146757291
polarization,2,0.2,0.4,300,500,0.047419454
polarization,8,0.2,0.4,300,300,0.203548297
polarization,4,0.6,0,50,500,0.148731493
polarization,4,0.6,0.4,150,300,0.161933611
polarization,4,0.8,0,50,500,0.165100674
polarization,2,0.2,0.4,300,150,0.198921509
polarization,4,0.8,0.8,300,300,0.326938717
polarization,2,0.8,0.6,150,300,0.228285546
polarization,2,0.8,0.6,50,500,0.303191323
polarization,16,0.2,0.8,150,300,0.317809825
polarization,2,0.4,0.4,300,150,0.195503349
polarization,4,0.8,0.4,150,300,0.310365475
polarization,4,0.2,0.2,50,500,0.134524883
polarization,2,0.6,0.4,300,150,0.198854277
polarization,8,0.4,0.4,300,300,0.202116568
polarization,2,0.2,0.8,150,300,0.223045208
polarization,16,0.4,0.8,150,300,0.333188971
polarization,2,0.2,0.8,300,500,0.316417931
polarization,4,0.2,0.8,150,500,0.125958575
polarization,4,0,0,300,300,0.202899052
polarization,2,0.8,0.4,300,150,0.223722618
polarization,4,0.2,0.6,150,300,0.148192074
polarization,4,0.4,0.2,50,500,0.150196317
polarization,2,0.2,0.6,300,150,0.177774613
polarization,2,0.4,0.8,150,300,0.240412026
polarization,16,0.6,0.8,150,300,0.349470558
polarization,2,0.2,0.8,50,500,0.17728459
polarization,4,0.2,0,300,300,0.203153234
polarization,2,0.4,0.6,300,150,0.18092527
polarization,4,0.4,0.6,150,300,0.155258347
polarization,8,0.6,0.4,300,300,0.216629346
polarization,16,0.8,0.8,150,300,0.394387925
polarization,2,0.6,0.8,150,300,0.234272267
polarization,2,0.6,0.6,300,150,0.177740039
polarization,4,0.6,0.6,150,300,0.195707671
polarization,2,0.8,0.6,300,150,0.177796409
polarization,4,0.4,0.8,150,500,0.130769566
polarization,4,0.6,0.2,50,500,0.167048815
polarization,2,0.4,0.4,300,500,0.048133369
polarization,4,0.4,0,300,300,0.204071042
polarization,16,0,0,150,300,0.219211169
polarization,2,0.4,0.8,50,500,0.187345067
polarization,2,0.8,0.8,150,300,0.254907458
polarization,16,0.2,0,150,300,0.220058226
polarization,2,0.2,0.8,300,150,0.167514245
polarization,4,0.8,0.6,150,300,0.343144575
polarization,8,0.8,0.4,300,300,0.255568927
polarization,16,0.4,0,150,300,0.218198244
polarization,2,0,0,150,300,0.14376139
polarization,4,0.6,0,300,300,0.202012936
polarization,2,0.4,0.8,300,150,0.174970363
polarization,16,0.6,0,150,300,0.224631048
polarization,2,0.2,0,150,300,0.144460049
polarization,4,0.8,0.2,50,500,0.061290994
polarization,16,0.8,0,150,300,0.233501942
polarization,2,0.6,0.8,300,150,0.174787924
polarization,2,0.6,0.8,50,500,0.221595642
polarization,2,0.4,0,150,300,0.146236964
polarization,2,0.4,0.8,300,500,0.316521429
polarization,2,0.6,0,150,300,0.145393437
polarization,4,0.6,0.8,150,500,0.136255901
polarization,4,0.2,0.8,150,300,0.1542253
polarization,2,0.8,0.8,300,150,0.209920876
polarization,4,0.8,0,300,300,0.203205826
polarization,2,0.8,0,150,300,0.15229424
polarization,16,0.2,0.2,150,300,0.230882197
polarization,2,0,0,300,150,0.141169286
polarization,4,0.4,0.8,150,300,0.161250124
polarization,8,0.2,0.6,300,300,0.216498051
polarization,2,0.2,0,300,150,0.139259743
polarization,2,0.8,0.8,50,500,0.359522843
polarization,16,0.4,0.2,150,300,0.234461466
polarization,2,0.2,0.2,150,300,0.142363264
polarization,2,0.4,0,300,150,0.14491107
polarization,4,0.2,0.4,50,500,0.1302254
polarization,2,0.6,0,300,150,0.140873921
polarization,4,0.6,0.8,150,300,0.205552396
polarization,2,0.6,0.4,300,500,0.058552263
polarization,16,0.6,0.2,150,300,0.227033555
polarization,2,0.4,0.2,150,300,0.140713817
polarization,2,0,0,50,500,0.135166016
polarization,4,0.2,0.2,300,300,0.202277858
polarization,2,0.8,0,300,150,0.137420017
polarization,2,0.2,0,50,500,0.135520145
polarization,4,0.8,0.8,150,500,0.174646325
polarization,2,0.4,0,50,500,0.134952666
polarization,2,0.6,0,50,500,0.140031211
polarization,8,0.4,0.6,300,300,0.219501738
polarization,2,0.8,0,50,500,0.162826076
polarization,4,0.8,0.8,150,300,0.322001872
polarization,2,0.6,0.2,150,300,0.128583188
polarization,2,0.2,0.2,300,150,0.137130432
polarization,16,0.8,0.2,150,300,0.167866962
polarization,4,0.4,0.4,50,500,0.141398343
polarization,2,0.4,0.2,300,150,0.148098865
polarization,4,0,0,150,300,0.088521012
polarization,2,0.8,0.2,150,300,0.056951225
polarization,2,0.2,0.2,50,500,0.134392819
polarization,4,0.4,0.2,300,300,0.198088098
polarization,2,0.6,0.2,300,150,0.138204159
polarization,4,0.2,0,150,300,0.089625477
polarization,4,0,0,150,500,0.097096222
polarization,2,0.6,0.8,300,500,0.310431824
polarization,16,0.2,0.4,150,300,0.222375274
polarization,4,0.4,0,150,300,0.091965951
polarization,2,0.8,0.2,300,150,0.016425922
polarization,8,0.6,0.6,300,300,0.237096693
polarization,4,0.6,0,150,300,0.098893746
polarization,4,0.6,0.4,50,500,0.139642391
polarization,4,0.2,0,150,500,0.096211934
polarization,4,0.8,0,150,300,0.127562216
polarization,4,0.6,0.2,300,300,0.203979293
polarization,2,0.4,0.2,50,500,0.141883425
polarization,16,0.4,0.4,150,300,0.2330805
polarization,2,0.2,0.4,150,300,0.146627184
polarization,2,0.2,0.4,300,150,0.140649611
polarization,2,0.4,0.4,300,150,0.146989292
polarization,4,0.4,0,150,500,0.096742175
polarization,4,0.2,0.2,150,300,0.090105543
polarization,16,0.6,0.4,150,300,0.241200026
polarization,2,0.4,0.4,150,300,0.148499845
polarization,8,0.8,0.6,300,300,0.304760673
polarization,2,0.6,0.4,300,150,0.140433345
polarization,2,0.8,0.4,300,500,0.105697225
polarization,4,0.8,0.4,50,500,0.205342775
polarization,4,0.8,0.2,300,300,0.16730206
polarization,4,0.6,0,150,500,0.099775045
polarization,2,0.8,0.4,300,150,0.136544299
polarization,2,0.6,0.2,50,500,0.153741547
polarization,4,0.4,0.2,150,300,0.098668163
polarization,16,0.8,0.4,150,300,0.286343034
polarization,2,0.6,0.4,150,300,0.14484201
polarization,2,0.2,0.6,300,150,0.135533901
polarization,4,0.8,0,150,500,0.108466792
polarization,4,0.6,0.2,150,300,0.122030242
polarization,2,0.8,0.4,150,300,0.137657396
polarization,2,0.4,0.6,300,150,0.141640918
polarization,16,0.2,0.6,150,300,0.213999878
polarization,2,0.8,0.8,300,500,0.325572176
polarization,2,0.8,0.2,50,500,0.094202117
polarization,4,0.8,0.2,150,300,0.080508659
polarization,2,0.6,0.6,300,150,0.114388216
polarization,4,0.2,0.6,50,500,0.157352798
polarization,8,0.2,0.8,300,300,0.215801519
polarization,4,0.2,0.4,300,300,0.203433715
polarization,2,0.8,0.6,300,150,0.138105575
polarization,2,0.2,0.6,150,300,0.128573714
polarization,16,0.4,0.6,150,300,0.217363418
polarization,4,0.2,0.2,150,500,0.105224875
polarization,4,0.2,0.4,150,300,0.10747712
polarization,2,0.2,0.8,300,150,0.158379562
polarization,2,0.4,0.6,150,300,0.130951539
polarization,16,0.6,0.6,150,300,0.237642099
polarization,4,0.4,0.6,50,500,0.155107456
polarization,2,0.4,0.8,300,150,0.163587794
polarization,8,0.4,0.8,300,300,0.219207092
polarization,4,0.4,0.4,300,300,0.203046438
polarization,4,0.4,0.4,150,300,0.119702223
polarization,2,0.2,0.4,50,500,0.113790564
polarization,2,0.6,0.8,300,150,0.161806142
polarization,2,0.6,0.6,150,300,0.125246171
polarization,16,0.8,0.6,150,300,0.308555092
polarization,2,0.8,0.8,300,150,0.187402972
polarization,2,0,0,300,500,0.195797179
polarization,4,0.6,0.4,150,300,0.152607674
polarization,4,0.4,0.2,150,500,0.10848433
polarization,2,0.8,0.6,150,300,0.178529777
polarization,4,0.6,0.6,50,500,0.164955417
polarization,2,0.2,0.6,300,500,0.043783749
polarization,8,0.6,0.8,300,300,0.236029314
polarization,4,0.6,0.4,300,300,0.20371138
polarization,16,0.2,0.8,150,300,0.190626887
polarization,2,0.4,0.4,50,500,0.120247393
polarization,4,0.8,0.4,150,300,0.294148774
polarization,2,0.2,0.8,150,300,0.1335051
polarization,16,0.4,0.8,150,300,0.204863811
polarization,4,0.8,0.6,50,500,0.204691303
polarization,4,0.2,0.6,150,300,0.115319253
polarization,4,0.6,0.2,150,500,0.100397553
polarization,8,0.8,0.8,300,300,0.356199237
polarization,2,0.6,0.4,50,500,0.142372971
polarization,4,0.8,0.4,300,300,0.21978109
polarization,2,0.4,0.8,150,300,0.141969775
polarization,16,0.6,0.8,150,300,0.231215419
polarization,2,0.2,0,300,500,0.195002802
polarization,4,0.4,0.6,150,300,0.134959754
polarization,2,0.6,0.8,150,300,0.15590677
polarization,16,0.8,0.8,150,300,0.358521295
polarization,8,0,0,300,300,0.166195378
polarization,2,0.8,0.4,50,500,0.111554605
polarization,4,0.6,0.6,150,300,0.172625089
polarization,4,0.2,0.8,50,500,0.151856625
polarization,16,0,0,150,300,0.156842671
polarization,4,0.8,0.2,150,500,0.020171896
polarization,2,0.8,0.8,150,300,0.154250088
polarization,4,0.2,0.6,300,300,0.20368372
polarization,16,0.2,0,150,300,0.157367549
polarization,2,0.4,0.6,300,500,0.051504854
polarization,4,0.8,0.6,150,300,0.335024344
polarization,8,0.2,0,300,300,0.166018308
polarization,16,0.4,0,150,300,0.159294655
polarization,2,0,0,150,300,0.091833094
polarization,16,0.6,0,150,300,0.161812383
polarization,2,0.2,0,150,300,0.090520826
polarization,2,0.4,0,300,500,0.196047555
polarization,16,0.8,0,150,300,0.17402802
polarization,4,0.4,0.8,50,500,0.156430221
polarization,2,0.4,0,150,300,0.092500248
polarization,2,0.2,0.6,50,500,0.118281696
polarization,4,0.4,0.6,300,300,0.209409485
polarization,8,0.4,0,300,300,0.167628064
polarization,4,0.2,0.8,150,300,0.130976621
polarization,2,0.6,0,150,300,0.093496745
polarization,16,0.2,0.2,150,300,0.159313148
polarization,2,0.8,0,150,300,0.096765858
polarization,4,0.4,0.8,150,300,0.149246671
polarization,4,0.6,0.8,50,500,0.167500805
polarization,8,0.6,0,300,300,0.168850725
polarization,16,0.4,0.2,150,300,0.163937425
polarization,2,0.2,0.2,150,300,0.088486842
polarization,4,0.2,0.4,150,500,0.103612997
polarization,2,0.4,0.6,50,500,0.125613651
polarization,4,0.6,0.6,300,300,0.214785628
polarization,4,0.6,0.8,150,300,0.203406187
polarization,16,0.6,0.2,150,300,0.185572579
polarization,2,0.4,0.2,150,300,0.081724497
polarization,2,0.6,0,300,500,0.193466181
polarization,8,0.8,0,300,300,0.182556692
polarization,2,0.6,0.6,300,500,0.064818998
polarization,4,0.8,0.8,50,500,0.259257973
polarization,4,0.8,0.8,150,300,0.344808748
polarization,16,0.8,0.2,150,300,0.149722497
polarization,2,0.6,0.2,150,300,0.081078439
