run,agents,observations,states,Time,TVD,Norm Diff,loud,outliers,missing
0,50,150,4,0.08871841430664062,0.10190369806984259,0.04430813603569749,min,0.1,0.0
0,50,150,8,0.0662229061126709,0.35032485964621063,0.06271936035629437,min,0.1,0.0
0,50,150,16,0.06563425064086914,1.0267351620694376,0.0962678481409019,min,0.1,0.0
0,50,300,4,0.128875732421875,0.13287853640845051,0.05077856649744642,min,0.1,0.0
0,50,300,16,0.1364576816558838,0.848008112122642,0.08396619909823541,min,0.1,0.0
0,50,300,8,0.14397335052490234,0.34145298524342615,0.0670904069697585,min,0.1,0.0
0,150,150,4,0.21101093292236328,0.17501630160051676,0.06017879683081514,min,0.1,0.0
0,50,500,4,0.2216176986694336,0.15409268459560832,0.054943692833724196,min,0.1,0.0
0,150,150,16,0.1935276985168457,0.7316357773008058,0.06769848148140525,min,0.1,0.0
0,50,500,8,0.2126295566558838,0.3237425849704506,0.06160072303024748,min,0.1,0.0
0,150,150,8,0.2205791473388672,0.27189664371751493,0.051986645838128266,min,0.1,0.0
0,50,500,16,0.2637019157409668,0.8484276212781187,0.08148177298689362,min,0.1,0.0
0,150,300,4,0.40540504455566406,0.18280318435752357,0.06508729724958359,min,0.1,0.0
0,300,150,4,0.4180445671081543,0.11725090693745402,0.04401203329568172,min,0.1,0.0
0,150,300,8,0.4575343132019043,0.28675188810341057,0.054641586390791745,min,0.1,0.0
0,300,150,8,0.549400806427002,0.24761814977406998,0.04647289492561984,min,0.1,0.0
0,150,300,16,0.514129638671875,0.6671705871012552,0.06384623287238793,min,0.1,0.0
0,150,500,4,0.6957247257232666,0.1082386797896987,0.04410128374042147,min,0.1,0.0
0,150,500,8,0.731285810470581,0.301539844318531,0.0562701313632051,min,0.1,0.0
0,150,500,16,0.7143809795379639,0.6531661954638565,0.06221997384394801,min,0.1,0.0
0,300,300,8,0.9744777679443359,0.23982253960063488,0.04839508932412491,min,0.1,0.0
0,300,300,4,1.017634391784668,0.163272026765588,0.054505832641038046,min,0.1,0.0
0,300,500,4,1.3123159408569336,0.1839005249342559,0.05865785937847566,min,0.1,0.0
0,300,500,8,1.655371904373169,0.30942786061711836,0.058456773417700614,min,0.1,0.0
0,50,150,8,0.061730146408081055,0.3739356330504893,0.06978347065309358,min,0.1,0.2
0,50,150,16,0.059144020080566406,1.3531546132637469,0.12685536504653971,min,0.1,0.2
0,50,150,4,0.09374094009399414,0.11826275247594165,0.04653680665952617,min,0.1,0.2
0,50,150,4,0.07328915596008301,0.1170156519205045,0.04487037796037091,min,0.1,0.4
0,50,150,8,0.051631927490234375,0.5147715334229169,0.09546943105592381,min,0.1,0.4
0,50,150,16,0.04861807823181152,1.8852488459529573,0.18283507057411336,min,0.1,0.4
0,50,150,16,0.038077592849731445,5.195269683667346,0.5589396693152981,min,0.1,0.6000000000000001
0,50,150,4,0.03859353065490723,0.2793478644671197,0.09948789782385838,min,0.1,0.6000000000000001
0,150,150,16,0.17004847526550293,0.8638211398140363,0.07974708649171476,min,0.1,0.2
0,50,150,8,0.0390932559967041,1.252064469451653,0.2323188816919104,min,0.1,0.6000000000000001
0,150,150,4,0.18569159507751465,0.1832214508261986,0.06237569300568076,min,0.1,0.2
0,150,150,8,0.19166135787963867,0.28725731001809607,0.054071301943865904,min,0.1,0.2
0,50,300,8,0.11943459510803223,0.36189816977916855,0.06810397310247407,min,0.1,0.2
0,50,300,16,0.11939477920532227,1.0639671257542953,0.1007841034935378,min,0.1,0.2
0,50,300,4,0.1217954158782959,0.14361278511641462,0.05296874419439153,min,0.1,0.2
0,50,150,16,0.039199113845825195,11.74044892924644,1.5693541372100166,min,0.1,0.8
0,50,150,16,0.03258466720581055,11.74044892924644,1.5693541372100166,maj,0.1,0.0
0,50,150,4,0.03357648849487305,1.1346597949322934,0.4524882813598345,min,0.1,0.8
0,50,150,16,0.031691789627075195,11.823039071297428,1.5829451010820699,maj,0.1,0.2
0,50,150,8,0.036599159240722656,5.1024899561735895,1.0380876533596088,min,0.1,0.8
0,50,150,4,0.033573150634765625,1.1346597949322934,0.4524882813598345,maj,0.1,0.0
0,50,150,16,0.03208303451538086,11.303736609070821,1.4871762310042211,maj,0.1,0.4
0,50,150,8,0.03209066390991211,5.1024899561735895,1.0380876533596088,maj,0.1,0.0
0,50,150,4,0.03208565711975098,0.8674706032809905,0.36598610844299967,maj,0.1,0.2
0,50,150,16,0.03057861328125,11.302201170717758,1.5461201880976576,maj,0.1,0.6000000000000001
0,50,150,8,0.027054548263549805,4.873322730168775,0.9737829255043505,maj,0.1,0.2
0,50,150,4,0.03207564353942871,0.6913393491373865,0.3050092546462692,maj,0.1,0.4
0,50,150,16,0.028695344924926758,10.770016807883184,1.4925612266253319,maj,0.1,0.8
0,50,150,16,0.06465840339660645,1.08560327366743,0.10423603176156702,min,0.2,0.0
0,50,150,8,0.030087709426879883,3.950641813257252,0.8975658731763633,maj,0.1,0.4
0,50,150,4,0.03007197380065918,0.47393268559312,0.23156941487701255,maj,0.1,0.6000000000000001
0,50,150,8,0.02857804298400879,3.817282965430885,0.8707743823081425,maj,0.1,0.6000000000000001
0,50,150,4,0.03119063377380371,0.35441437651556956,0.2181277312181253,maj,0.1,0.8
0,50,150,4,0.07621407508850098,0.149780278494204,0.05324427496780061,min,0.2,0.0
0,50,150,8,0.0420987606048584,4.248172921244519,1.0652485523353787,maj,0.1,0.8
0,50,150,8,0.0673222541809082,0.3330246238445991,0.06119693444137706,min,0.2,0.0
0,50,150,16,0.0591585636138916,1.4035912496489724,0.13325452490267053,min,0.2,0.2
0,50,150,4,0.06568193435668945,0.1545809451071214,0.054344222436123156,min,0.2,0.2
0,50,150,8,0.0877232551574707,0.35540814806519105,0.06200114773533021,min,0.2,0.2
0,150,150,16,0.13895726203918457,1.3286018574744431,0.12413410595818061,min,0.1,0.4
0,50,150,16,0.05011487007141113,2.1932611911047664,0.2131176725733438,min,0.2,0.4
0,150,150,4,0.13948702812194824,0.20669136679184225,0.069319570159531,min,0.1,0.4
0,50,150,4,0.0727381706237793,0.2306308265882333,0.08628512695268681,min,0.2,0.4
0,300,150,4,0.426954984664917,0.12286422141744886,0.04521916430451838,min,0.1,0.2
0,150,150,8,0.1504814624786377,0.3807612216794998,0.06879066911174082,min,0.1,0.4
0,50,150,8,0.04948687553405762,0.566950449072744,0.1030431266287909,min,0.2,0.4
0,300,150,8,0.3441121578216553,0.2626669624754796,0.047535524678318765,min,0.1,0.2
0,50,150,16,0.039093971252441406,5.6972792019635685,0.6175718043749663,min,0.2,0.6000000000000001
0,50,150,8,0.03949618339538574,1.6009030990136204,0.31346448892394296,min,0.2,0.6000000000000001
0,50,300,4,0.09432721138000488,0.17086884498854032,0.06048990990785591,min,0.1,0.4
0,50,150,4,0.044094085693359375,0.590271505694188,0.23982508310541684,min,0.2,0.6000000000000001
0,50,300,8,0.09084582328796387,0.4528213927106877,0.08259408227987802,min,0.1,0.4
0,50,300,16,0.09975814819335938,1.65372601459499,0.16456855142466037,min,0.1,0.4
0,50,150,16,0.03757524490356445,11.896569789761186,1.6594760152919297,min,0.2,0.8
0,50,150,16,0.03608965873718262,11.896569789761186,1.6594760152919297,maj,0.2,0.0
0,50,150,16,0.03559303283691406,11.806505115283969,1.5983418434072687,maj,0.2,0.2
0,50,150,8,0.03657341003417969,5.019066690627497,0.9778947383546893,min,0.2,0.8
0,50,150,16,0.032586097717285156,11.155661024143223,1.4992040170476402,maj,0.2,0.4
0,50,150,4,0.040106773376464844,1.7791564521496648,0.755833252214652,min,0.2,0.8
0,50,150,8,0.03910541534423828,5.019066690627497,0.9778947383546893,maj,0.2,0.0
0,50,150,16,0.029684066772460938,9.787988232009514,1.3548170808820517,maj,0.2,0.6000000000000001
0,50,150,4,0.040613412857055664,1.7791564521496648,0.755833252214652,maj,0.2,0.0
0,50,150,8,0.03458094596862793,4.8667252227073154,0.9676430632989393,maj,0.2,0.2
0,50,150,16,0.02958512306213379,9.762592905372689,1.4064021594528788,maj,0.2,0.8
0,50,150,16,0.06467366218566895,1.32652445946515,0.1258362238486906,min,0.30000000000000004,0.0
0,50,150,4,0.035088539123535156,1.7448578844894542,0.739358910661672,maj,0.2,0.2
0,50,150,8,0.03471732139587402,4.414821667845493,0.88740101575602,maj,0.2,0.4
0,150,150,16,0.10991644859313965,3.5166170219471518,0.37004026551877695,min,0.1,0.6000000000000001
0,50,150,4,0.03207063674926758,1.3697217035747862,0.5325900182718301,maj,0.2,0.4
0,50,150,8,0.031225919723510742,3.121284602272062,0.6381460993367284,maj,0.2,0.6000000000000001
0,50,150,4,0.03258347511291504,0.8721808923880712,0.35661106348053295,maj,0.2,0.6000000000000001
0,150,150,4,0.11126255989074707,0.3838100215847713,0.139508119337738,min,0.1,0.6000000000000001
0,50,150,16,0.0628049373626709,1.6063354861608807,0.1531865858413437,min,0.30000000000000004,0.2
0,50,150,8,0.030068159103393555,4.391888891955521,1.156845912928936,maj,0.2,0.8
0,50,150,8,0.1146860122680664,0.3626856225130769,0.06428102276547126,min,0.30000000000000004,0.0
0,50,150,4,0.04370450973510742,0.7374184837144069,0.5704294338173247,maj,0.2,0.8
0,150,150,8,0.12492227554321289,1.0648975452525482,0.19894960830289804,min,0.1,0.6000000000000001
0,50,150,4,0.0992436408996582,0.13611547264909296,0.04523087062857527,min,0.30000000000000004,0.0
0,50,500,16,0.1907956600189209,0.9975206581767972,0.09666490123991825,min,0.1,0.2
0,50,500,8,0.20409798622131348,0.3573418145763646,0.06790647262435674,min,0.1,0.2
0,50,500,4,0.19815850257873535,0.15156950393265045,0.0527689516904376,min,0.1,0.2
0,50,150,16,0.05212903022766113,2.9088519000600352,0.30004627403168677,min,0.30000000000000004,0.4
0,50,150,8,0.06980371475219727,0.38348553114169803,0.0727531929550565,min,0.30000000000000004,0.2
0,50,150,4,0.09573626518249512,0.14422405258537424,0.04797740600280429,min,0.30000000000000004,0.2
0,50,150,16,0.044762372970581055,6.707699491661924,0.8082226525249397,min,0.30000000000000004,0.6000000000000001
0,50,150,8,0.050124168395996094,0.7685055263630134,0.14794270898027836,min,0.30000000000000004,0.4
0,50,150,4,0.053160905838012695,0.24991604311427834,0.0834999323668928,min,0.30000000000000004,0.4
0,50,300,8,0.07530879974365234,1.2079259635772974,0.2626665006325142,min,0.1,0.6000000000000001
0,50,300,4,0.07182025909423828,0.37767802559457087,0.14076621656850047,min,0.1,0.6000000000000001
0,50,300,16,0.07083940505981445,4.001079677115244,0.4273785000368663,min,0.1,0.6000000000000001
0,50,150,16,0.04060482978820801,12.277877780557116,1.7076777283708453,min,0.30000000000000004,0.8
0,150,300,8,0.35446596145629883,0.3019235508785223,0.056701854265786084,min,0.1,0.2
0,150,150,16,0.09932827949523926,9.508850386726078,1.1904835361715804,min,0.1,0.8
0,50,150,16,0.04123377799987793,12.277877780557116,1.7076777283708453,maj,0.30000000000000004,0.0
0,50,150,8,0.059262752532958984,2.360373827984355,0.46439267852511795,min,0.30000000000000004,0.6000000000000001
