run,agents,observations,states,Time,F-Norm,Norm Diff,missing,SS ratio,bias factor
0,50,150,32,0.04806661605834961,0.4652166831560343,0.31510944087732784,0.0,0.0,0.1
0,50,150,4,0.05277562141418457,0.08151852212911438,0.05882544494662652,0.0,0.0,0.1
0,50,150,16,0.07183647155761719,0.22729351110319354,0.15625044841391098,0.0,0.0,0.1
0,50,150,64,0.0579228401184082,0.8209410325820378,0.5578412176071723,0.0,0.0,0.1
0,50,150,8,0.06896424293518066,0.164745057611869,0.11383712940086714,0.0,0.0,0.1
0,50,150,32,0.0515131950378418,0.41122237676853785,0.2804957033581972,0.0,0.0,0.30000000000000004
0,50,150,4,0.05449628829956055,0.08607390231743887,0.0639601440099096,0.0,0.0,0.30000000000000004
0,50,150,16,0.06146383285522461,0.24572684115085178,0.16862625132894746,0.0,0.0,0.30000000000000004
0,50,150,64,0.056752920150756836,0.835047510336106,0.5640333189961514,0.0,0.0,0.30000000000000004
0,50,150,8,0.06277155876159668,0.13675144181393065,0.09558307047453916,0.0,0.0,0.30000000000000004
0,150,150,8,0.1625378131866455,0.06990027033781816,0.049168653336600886,0.0,0.0,0.1
0,150,150,32,0.1811058521270752,0.255293386641749,0.17228062287263377,0.0,0.0,0.1
0,150,150,16,0.17459702491760254,0.13535278083944813,0.0939966431665475,0.0,0.0,0.1
0,50,150,32,0.07120776176452637,0.43207035740975674,0.2914943505510673,0.0,0.0,0.5
0,150,150,64,0.19628524780273438,0.47009097321877247,0.31742075444846163,0.0,0.0,0.1
0,150,150,4,0.18364405632019043,0.02343990148215422,0.017872717183994205,0.0,0.0,0.1
0,50,150,4,0.06571221351623535,0.05343065526228497,0.03775330244792889,0.0,0.0,0.5
0,50,150,8,0.06545019149780273,0.12390986184148575,0.0864437359863064,0.0,0.0,0.5
0,50,150,16,0.06828689575195312,0.25149350807318216,0.17214670453734202,0.0,0.0,0.5
0,50,150,64,0.06306004524230957,0.8348953039251749,0.5622130812516793,0.0,0.0,0.5
0,50,150,32,0.054253578186035156,0.4274611039945423,0.28960151296475406,0.0,0.0,0.7000000000000001
0,50,150,4,0.05967307090759277,0.03278865593563502,0.023996738836978785,0.0,0.0,0.7000000000000001
0,50,150,8,0.05886578559875488,0.14878164710137948,0.10275439741374627,0.0,0.0,0.7000000000000001
0,50,150,64,0.054849863052368164,0.8301301908426639,0.5611042235116457,0.0,0.0,0.7000000000000001
0,50,150,16,0.06544137001037598,0.24210976747537272,0.16790354510965352,0.0,0.0,0.7000000000000001
0,50,150,32,0.06969070434570312,0.4337771090685311,0.29545889327710995,0.0,0.0,0.9
0,50,150,4,0.06029248237609863,0.056466366634429686,0.03987135171106352,0.0,0.0,0.9
0,50,150,64,0.06130671501159668,0.7790087916675387,0.5263087700065782,0.0,0.0,0.9
0,50,150,16,0.05730462074279785,0.24799606805087734,0.17001661649027203,0.0,0.0,0.9
0,50,150,8,0.06930279731750488,0.12713180774547472,0.08984449670540008,0.0,0.0,0.9
0,150,150,32,0.17428851127624512,0.26240156984121593,0.17854646537298144,0.0,0.0,0.30000000000000004
0,300,150,32,0.3529517650604248,0.18301668406017288,0.12466069085585829,0.0,0.0,0.1
0,150,150,16,0.18693876266479492,0.13468453379731632,0.09372356915458795,0.0,0.0,0.30000000000000004
0,150,150,8,0.19796252250671387,0.07000671662242801,0.04874838147446418,0.0,0.0,0.30000000000000004
0,300,150,8,0.3545188903808594,0.05015902969234028,0.03544401746364692,0.0,0.0,0.1
0,300,150,4,0.3690624237060547,0.036217971635976565,0.027485018210860197,0.0,0.0,0.1
0,150,150,4,0.17615938186645508,0.022213900394848114,0.0161551375567003,0.0,0.0,0.30000000000000004
0,150,150,64,0.18520116806030273,0.477753864986882,0.32211203116216003,0.0,0.0,0.30000000000000004
0,50,150,32,0.05582594871520996,0.522377951033799,0.35364622882167973,0.2,0.0,0.1
0,300,150,16,0.38397908210754395,0.10111283987185099,0.06984481492578457,0.0,0.0,0.1
0,50,150,4,0.045128583908081055,0.0838671135902323,0.0625422654512976,0.2,0.0,0.1
0,300,150,64,0.37244439125061035,0.33348816648737956,0.2247926679564269,0.0,0.0,0.1
0,50,150,16,0.054657697677612305,0.29737885572506406,0.20619746008889084,0.2,0.0,0.1
0,50,150,64,0.05945324897766113,1.0452614135982603,0.7077515141229366,0.2,0.0,0.1
0,50,150,8,0.05546283721923828,0.16251091465028578,0.1128853309690291,0.2,0.0,0.1
0,50,150,4,0.044040679931640625,0.04009930528504987,0.029466005296332254,0.2,0.0,0.30000000000000004
0,50,150,32,0.05708050727844238,0.5340804837338998,0.3634377281436247,0.2,0.0,0.30000000000000004
0,50,150,16,0.04719662666320801,0.2993016956738533,0.20257838440735662,0.2,0.0,0.30000000000000004
0,50,150,8,0.05078315734863281,0.13801839549384978,0.09961027120785493,0.2,0.0,0.30000000000000004
0,50,150,64,0.06091713905334473,1.0097443299715534,0.6897948239983301,0.2,0.0,0.30000000000000004
0,50,150,4,0.05642080307006836,0.1230334321450762,0.09300906577037457,0.2,0.0,0.5
0,50,150,32,0.058417558670043945,0.5517281358726945,0.37619330988675004,0.2,0.0,0.5
0,50,150,16,0.05842423439025879,0.2855498730084735,0.19366882338810448,0.2,0.0,0.5
0,50,150,8,0.04946303367614746,0.13697742999914198,0.09635715354823332,0.2,0.0,0.5
0,150,150,32,0.19629549980163574,0.24365474825867917,0.1662287410821222,0.0,0.0,0.5
0,50,150,64,0.0501399040222168,1.0646542081585246,0.7204543271671328,0.2,0.0,0.5
