run,agents,observations,missing,clusters,Time,TVD,Norm Diff,SS ratio,states,unaff
0,50,150,0.0,2.0,0.05913186073303223,2.5721066026456114,1.1425033062876306,0.0,4,0.1
0,50,150,0.0,2.0,0.06063437461853027,19.447402699233827,1.290857740819705,0.0,32,0.1
0,50,150,0.1,2.0,0.054207801818847656,2.564223707490691,1.139156235487783,0.0,4,0.1
0,50,150,0.1,2.0,0.05220961570739746,19.602558735205598,1.300498210400168,0.0,32,0.1
0,50,150,0.2,2.0,0.04961347579956055,2.5849570796996644,1.1467220610824,0.0,4,0.1
0,50,150,0.2,2.0,0.054639577865600586,19.634631813917984,1.316393737442993,0.0,32,0.1
0,50,300,0.0,2.0,0.10528182983398438,9.689689884991427,1.279932693554709,0.0,16,0.1
0,50,150,0.30000000000000004,2.0,0.045606374740600586,2.5565461318783136,1.1407615406735814,0.0,4,0.1
0,50,150,0.30000000000000004,2.0,0.032558441162109375,19.81678337935821,1.32387250835293,0.0,32,0.1
0,50,150,0.4,2.0,0.037130117416381836,20.464918426879798,1.3472820022876832,0.0,32,0.1
0,50,150,0.4,2.0,0.0381321907043457,2.5475939660352314,1.1290793216516697,0.0,4,0.1
0,50,150,0.5,2.0,0.028548002243041992,2.5654573735913653,1.1409015796021926,0.0,4,0.1
0,50,150,0.5,2.0,0.028101205825805664,20.54915886384365,1.3803194114464392,0.0,32,0.1
0,50,300,0.1,2.0,0.08828306198120117,9.723332249392278,1.2830713652229144,0.0,16,0.1
0,50,150,0.6000000000000001,2.0,0.025535106658935547,2.5870279170132697,1.1500268180745303,0.0,4,0.1
0,50,150,0.6000000000000001,2.0,0.026045799255371094,20.841571809880907,1.3932843281388503,0.0,32,0.1
0,50,500,0.0,2.0,0.14186644554138184,4.739820306763469,1.1638873944915082,0.0,8,0.1
0,150,150,0.0,2.0,0.14187121391296387,1.7852413688235438,0.8981143107340704,0.0,4,0.1
0,150,150,0.0,2.0,0.13937020301818848,38.95439483333614,1.2923828676278029,0.0,64,0.1
0,50,150,0.7000000000000001,2.0,0.023036479949951172,2.5910865362160154,1.1370183410317258,0.0,4,0.1
0,50,150,0.7000000000000001,2.0,0.024036407470703125,22.841359293034227,1.5597295389699637,0.0,32,0.1
0,50,150,0.8,2.0,0.021038055419921875,2.4552414852971927,1.113387840109784,0.0,4,0.1
0,50,150,0.8,2.0,0.021538972854614258,24.572347394281273,1.735553768362666,0.0,32,0.1
0,50,300,0.2,2.0,0.07414913177490234,9.716759642593864,1.2770683179598827,0.0,16,0.1
0,50,150,0.9,2.0,0.01852893829345703,2.4438095468927816,1.1373580245044936,0.0,4,0.1
0,50,150,0.9,2.0,0.01963067054748535,27.703066456912914,2.7280967001524794,0.0,32,0.1
0,50,300,0.30000000000000004,2.0,0.08303403854370117,9.705228106718238,1.2863459683423872,0.0,16,0.1
0,150,150,0.1,2.0,0.1406714916229248,1.7841292555641077,0.8967743665263411,0.0,4,0.1
0,150,150,0.1,2.0,0.14017367362976074,39.02359901290255,1.2985479080614784,0.0,64,0.1
0,50,500,0.1,2.0,0.14969229698181152,4.679391679643175,1.1479823041586865,0.0,8,0.1
0,50,150,0.1,2.0,0.04058670997619629,2.6170654306503165,1.1558906290370752,0.2,4,0.1
0,50,150,0.1,2.0,0.045601844787597656,19.360413477951447,1.2870685338051635,0.2,32,0.1
0,50,300,0.4,2.0,0.06678032875061035,9.70840233083235,1.2842135631497054,0.0,16,0.1
0,150,150,0.2,2.0,0.12080550193786621,39.2369683885119,1.303504271877103,0.0,64,0.1
0,300,150,0.0,2.0,0.2673149108886719,4.054095451021349,0.9339041535043383,0.0,8,0.1
0,150,300,0.0,2.0,0.3189430236816406,19.53548671875687,1.2897047789919855,0.0,32,0.1
0,50,150,0.2,2.0,0.037568092346191406,19.327735282996954,1.2917252986061067,0.2,32,0.1
0,150,150,0.2,2.0,0.12222909927368164,1.7968812436819916,0.9016427401339695,0.0,4,0.1
0,50,300,0.5,2.0,0.07514476776123047,9.774399970377662,1.294609009287568,0.0,16,0.1
0,50,150,0.2,2.0,0.037567138671875,2.600903006037549,1.1530484548804845,0.2,4,0.1
0,50,500,0.2,2.0,0.12426304817199707,4.720757931863378,1.158458590648278,0.0,8,0.1
0,50,300,0.6000000000000001,2.0,0.05070781707763672,9.947329319990047,1.3314815233610662,0.0,16,0.1
0,150,150,0.30000000000000004,2.0,0.1319875717163086,39.63385432774483,1.3215244674919893,0.0,64,0.1
0,50,150,0.30000000000000004,2.0,0.03156590461730957,2.616477450818717,1.1719343217150275,0.2,4,0.1
0,50,300,0.7000000000000001,2.0,0.04871845245361328,9.602149064176682,1.2982259690184266,0.0,16,0.1
0,50,150,0.30000000000000004,2.0,0.036052703857421875,19.888184255543187,1.3358594091243157,0.2,32,0.1
0,150,150,0.30000000000000004,2.0,0.1260077953338623,1.7818921496023992,0.8976039669772895,0.0,4,0.1
0,50,500,0.30000000000000004,2.0,0.12451815605163574,4.726844208958985,1.1613199678577975,0.0,8,0.1
0,50,300,0.8,2.0,0.04322218894958496,10.085198927594917,1.340095239526473,0.0,16,0.1
0,150,150,0.4,2.0,0.09884953498840332,40.57137119983873,1.3651398717007548,0.0,64,0.1
0,50,300,0.9,2.0,0.04617118835449219,11.229946681808636,1.6064958561231473,0.0,16,0.1
0,150,150,0.4,2.0,0.10530376434326172,1.7838316346309966,0.8950057857597342,0.0,4,0.1
0,50,150,0.4,2.0,0.025560855865478516,2.7426999932916343,1.2106374782396052,0.2,4,0.1
