Scenario,state,missing,agents,observations,inaccuracy
outlier,16,0.4,50,150,0.054766458
outlier,8,0,50,300,0.137919603
outlier,8,0.8,50,150,0.266105993
outlier,8,0,50,150,0.018202774
outlier,4,0.8,50,150,0.218202384
outlier,4,0,50,150,0.019199927
outlier,16,0.2,50,300,0.10791537
outlier,8,0.2,50,300,0.118285228
outlier,16,0.4,50,300,0.091392031
outlier,16,0.6,50,150,0.157604157
outlier,8,0.2,50,150,0.022528201
outlier,4,0.8,50,300,0.223639717
outlier,4,0.2,50,150,0.021529416
outlier,8,0.4,50,300,0.081116623
outlier,16,0.6,50,300,0.090469406
outlier,4,0,50,300,0.223639717
outlier,16,0.8,50,150,0.316032204
outlier,8,0.6,50,300,0.063423853
outlier,8,0.4,50,150,0.044568094
outlier,4,0.4,50,150,0.044081633
outlier,16,0.2,150,150,0.015533348
outlier,16,0.8,50,300,0.090377344
outlier,16,0,50,300,0.014613558
outlier,4,0.2,50,300,0.197762686
outlier,16,0,50,150,0.316032204
outlier,8,0.8,50,300,0.198688902
outlier,8,0,50,300,0.015577071
outlier,4,0.6,50,150,0.152076211
outlier,8,0.6,50,150,0.162265548
outlier,4,0.4,50,300,0.129971256
outlier,16,0.2,50,150,0.311758201
outlier,16,0.4,50,150,0.318252714
outlier,8,0.2,150,150,0.017638759
outlier,4,0.6,50,300,0.05413753
outlier,4,0.8,50,150,0.272566765
outlier,4,0.2,150,150,0.022761003
outlier,8,0.8,50,150,0.299099341
outlier,16,0.6,50,150,0.272791447
outlier,4,0.8,50,300,0.205257688
outlier,4,0,50,300,0.017947982
outlier,4,0,50,150,0.272566765
outlier,8,0,50,150,0.299099341
outlier,16,0.8,50,150,0.232253799
outlier,16,0,50,150,0.027343507
outlier,4,0.2,50,150,0.265702236
outlier,8,0.2,50,150,0.294068205
outlier,16,0.2,50,150,0.03781523
outlier,16,0.4,150,150,0.026913141
outlier,4,0.4,50,150,0.237676693
outlier,8,0.4,50,150,0.29834721
outlier,8,0.6,300,150,0.047491459
outlier,4,0.6,300,150,0.045004903
outlier,16,0.4,50,150,0.072065399
outlier,4,0.6,50,150,0.158376566
outlier,8,0.6,50,150,0.328015441
outlier,16,0.2,50,300,0.017644547
outlier,8,0.2,50,300,0.017268466
outlier,16,0.6,50,150,0.169729035
outlier,4,0.8,50,150,0.107903346
outlier,4,0,50,150,0.055112422
outlier,8,0.8,50,150,0.278173748
outlier,8,0.4,150,150,0.024776035
outlier,8,0,50,150,0.021907799
outlier,4,0.4,150,150,0.034886918
outlier,16,0.8,50,150,0.28799847
