run,agents,observations,states,Time,TVD,Norm Diff,missing,low
0,50,150,16,0.05474138259887695,1.0197573507327355,0.12259726393209949,0.0,True
0,50,150,4,0.057659149169921875,0.06532148560366019,0.03279818596287403,0.0,True
0,50,300,8,0.10488033294677734,0.1710846937850064,0.042187408669211564,0.0,True
0,50,150,16,0.051627397537231445,3.677382922202086,0.46610613598463935,0.2,True
0,50,150,4,0.03760576248168945,1.0315668743982025,0.5101534293160184,0.2,True
0,50,150,16,0.03917407989501953,5.970236648127335,0.7322808087809971,0.4,True
0,50,150,4,0.039601802825927734,0.792539128503316,0.3656751559477638,0.4,True
0,50,300,8,0.08521628379821777,1.7345688359123614,0.44601706337578434,0.2,True
0,50,500,4,0.19666814804077148,0.024686383499309017,0.012817850662989294,0.0,True
0,50,500,64,0.17008471488952637,9.174849240322107,0.28757849158754967,0.0,True
0,150,150,32,0.15257906913757324,2.3861341733220724,0.14737485007036005,0.0,True
0,50,150,16,0.028633832931518555,7.640540823964113,1.0563365095378494,0.6000000000000001,True
0,50,150,4,0.0410916805267334,1.1773868774316265,0.5719073789371739,0.6000000000000001,True
0,50,300,8,0.08219528198242188,2.924871929552464,0.7422714896736365,0.4,True
0,50,150,16,0.026691436767578125,9.320328832021563,1.4541575368099706,0.8,True
0,50,150,16,0.0546422004699707,1.0197573507327355,0.12259726393209949,0.0,False
0,150,150,32,0.16002941131591797,7.951219668402325,0.5536708024845794,0.2,True
0,50,150,4,0.034060001373291016,0.6074824747562279,0.3250648317459878,0.8,True
0,50,150,16,0.05160260200500488,3.490438971826068,0.5206049136110034,0.2,False
0,50,500,4,0.18595647811889648,0.6415080656127028,0.348149515614596,0.2,True
0,50,500,64,0.179429292678833,21.10704978428854,0.7478027524101791,0.2,True
0,50,150,4,0.057726383209228516,0.06532148560366019,0.03279818596287403,0.0,False
0,150,300,16,0.36663055419921875,0.41206434349599763,0.05374429769054856,0.0,True
0,300,150,4,0.3756442070007324,0.02003438353685396,0.010026889302007076,0.0,True
0,300,150,64,0.360975980758667,6.955297291588341,0.22193158152855877,0.0,True
0,50,150,4,0.04590868949890137,0.14401407068771577,0.06360406560548676,0.2,False
0,50,150,16,0.04813885688781738,6.176740837764404,0.8347695271161242,0.4,False
0,50,300,8,0.06969690322875977,3.579914016436166,1.00313225833354,0.6000000000000001,True
0,150,150,32,0.13345789909362793,13.063476996123264,0.8602713489255753,0.4,True
0,50,150,4,0.044121503829956055,0.47382739112579364,0.2712285210682349,0.4,False
0,50,150,16,0.03114604949951172,7.924846842955429,0.963417283620142,0.6000000000000001,False
0,50,150,4,0.03058028221130371,1.079836972614807,0.4616789461839108,0.6000000000000001,False
0,50,500,4,0.1554560661315918,1.33109211435306,0.6979358373801363,0.4,True
0,50,150,16,0.026653289794921875,8.655469922301318,1.2239559430927707,0.8,False
0,50,500,64,0.11398935317993164,32.898846111811295,1.157353662492402,0.4,True
0,50,300,8,0.050351619720458984,2.8206990341108495,0.8289369667793267,0.8,True
0,300,150,64,0.28647685050964355,18.66514074455153,0.6660048490651571,0.2,True
0,300,150,4,0.24588298797607422,0.6715234116113049,0.3519283530584589,0.2,True
0,150,300,16,0.26233530044555664,3.2336737260814465,0.4737997594219765,0.2,True
0,50,300,8,0.10072445869445801,0.1710846937850064,0.042187408669211564,0.0,False
0,50,150,4,0.031053781509399414,1.1789429401554343,0.5636660199172342,0.8,False
0,150,150,32,0.11072850227355957,17.074784152361783,1.2471640446273502,0.6000000000000001,True
0,150,500,8,0.5713942050933838,0.07937760878543657,0.020008611304814638,0.0,True
0,50,300,8,0.09882235527038574,1.370311551286376,0.5014277684687515,0.2,False
0,50,300,16,0.0997776985168457,0.726348948708911,0.09211705672291032,0.0,True
0,300,300,32,0.6079099178314209,1.2270555226143203,0.07547956780509567,0.0,True
0,50,300,4,0.09834599494934082,0.04282695322458584,0.022173460103920458,0.0,True
0,50,500,4,0.09032869338989258,1.836469512699073,0.9302433210360881,0.6000000000000001,True
0,50,300,8,0.08078789710998535,2.5337136832970515,0.6927617840415028,0.4,False
0,50,300,16,0.09983396530151367,3.305947068702776,0.4712852685792644,0.2,True
0,300,150,64,0.247819185256958,29.535272241521916,1.0210904969502557,0.4,True
0,300,150,4,0.21823477745056152,1.2580255114753114,0.6360035420772797,0.4,True
0,50,500,64,0.11840438842773438,43.21872726329278,1.681396667312897,0.6000000000000001,True
0,50,300,4,0.09021353721618652,0.715458534570475,0.3988697624889696,0.2,True
0,150,150,32,0.09332013130187988,20.653120240528366,1.6328299669269644,0.8,True
0,150,300,16,0.2277534008026123,6.084334048197021,0.7732583586349052,0.4,True
0,150,150,32,0.15993976593017578,2.3861341733220724,0.14737485007036005,0.0,False
0,50,300,16,0.06817293167114258,5.657392888804242,0.7310158407534189,0.4,True
0,50,300,8,0.05413985252380371,3.750577153477948,0.8784255839140803,0.6000000000000001,False
0,50,300,4,0.0816810131072998,1.2248985226799702,0.5956586984912462,0.4,True
0,150,500,8,0.42168188095092773,1.501975979457649,0.40160074232638737,0.2,True
0,150,150,32,0.13950157165527344,7.353245799354376,0.5510220257522664,0.2,False
0,50,300,16,0.06565237045288086,7.920295358338122,1.1277131799202493,0.6000000000000001,True
0,50,500,4,0.07367777824401855,1.3154303915071552,0.6701700101025475,0.8,True
0,50,500,4,0.17295575141906738,0.024686383499309017,0.012817850662989294,0.0,False
0,50,300,4,0.06120800971984863,1.3897545241776683,0.7317836494402955,0.6000000000000001,True
0,50,300,8,0.054726600646972656,3.0199090950766427,0.7699629170926598,0.8,False
